res_orig,res_swap_llm,res_back,res_cont,res_cont_ins,res_spell,res_rand,res_w2v,res_ins_llm,res_spell_llm,res_rand_llm,res_para_llm
0.961593172,0.859504132,0.926229508,0.784722222,0.95357524,0.85467315,0.898282695,0.77071085,0.952510176,0.590233546,0.931082982,0.948228883
0.957325747,0.790633609,0.926229508,0.766559829,0.935965848,0.82549973,0.857992074,0.725815072,0.929443691,0.520169851,0.909985935,0.941416894
0.967283073,0.702479339,0.901639344,0.745726496,0.884738527,0.764451648,0.813077939,0.698022448,0.887381275,0.611464968,0.866385373,0.886920981
0.974395448,0.801652893,0.942622951,0.766559829,0.944503735,0.830902215,0.871862616,0.739711384,0.936227951,0.554140127,0.912798875,0.949591281
0.961593172,0.833333333,0.967213115,0.776175214,0.95624333,0.81469476,0.914134742,0.747728487,0.940298507,0.524416136,0.933895921,0.945504087
0.970128023,0.79338843,0.87704918,0.772970085,0.905549626,0.773635873,0.819022457,0.710849813,0.895522388,0.636942675,0.866385373,0.89373297
0.953058321,0.819559229,0.909836066,0.768696581,0.917822839,0.806050783,0.842140026,0.737039017,0.894165536,0.560509554,0.897327707,0.929155313
0.960170697,0.85261708,0.93442623,0.801282051,0.951440768,0.86925986,0.910171731,0.75414217,0.944369064,0.717622081,0.933895921,0.948228883
0.961593172,0.845730028,0.942622951,0.783653846,0.941302028,0.871420854,0.898943197,0.800641368,0.926729986,0.692144374,0.915611814,0.95640327
0.957325747,0.797520661,0.909836066,0.745192308,0.915154749,0.7817396,0.816380449,0.739176911,0.900949796,0.55626327,0.901547117,0.919618529
