method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
cont,0.8082500000000001,0.009555757426808194,True,5,1,15,ag_news_orig,0
clean,0.7020000000000001,0.06065063890842373,True,5,2,0,ag_news_orig,0
cont,0.8377500000000001,0.010691702390171557,True,10,1,5,ag_news_orig,0
clean,0.8057500000000001,0.019970290433541517,True,10,2,0,ag_news_orig,0
cont,0.8574999999999999,0.010062305898749065,True,20,1,15,ag_news_orig,0
clean,0.84325,0.005482928049865333,True,20,2,0,ag_news_orig,0
cont,0.852,0.012389511693363874,False,30,1,15,ag_news_orig,0
clean,0.8435,0.008958236433584461,False,30,2,0,ag_news_orig,0
cont,0.8605,0.004974937185533102,True,40,1,15,ag_news_orig,0
clean,0.8467500000000001,0.012944593465999618,True,40,2,0,ag_news_orig,0
cont,0.86975,0.011908505363814539,True,50,1,15,ag_news_orig,0
clean,0.8532500000000001,0.011728704105739908,True,50,2,0,ag_news_orig,0
cont,0.869,0.008674675786448727,True,100,1,15,ag_news_orig,0
clean,0.85875,0.005153882032022084,True,100,2,0,ag_news_orig,0
cont,0.5752143347050754,0.020930801384694983,True,5,1,15,20_news_orig,0
clean,0.44142661179698217,0.043699019707927486,True,5,2,0,20_news_orig,0
cont,0.6260116598079561,0.00762422500104853,True,10,1,15,20_news_orig,0
clean,0.5849108367626885,0.015755368474870655,True,10,2,0,20_news_orig,0
cont,0.6724365569272976,0.012092614382234643,False,20,1,15,20_news_orig,0
clean,0.6612740054869684,0.019048611981442167,False,20,2,0,20_news_orig,0
cont,0.7115312071330591,0.007383678469746878,False,30,2,2,20_news_orig,0
clean,0.7130401234567901,0.013123191533962934,False,30,1,0,20_news_orig,0
cont,0.7206704389574761,0.011544088704526717,False,40,2,5,20_news_orig,0
clean,0.7245970507544582,0.010603174037396518,False,40,1,0,20_news_orig,0
cont,0.7377829218106996,0.0077434593552655855,True,50,2,15,20_news_orig,0
clean,0.7471707818930041,0.003911758105445246,True,50,1,0,20_news_orig,0
cont,0.7512602880658437,0.007908833284136019,False,100,2,1,20_news_orig,0
clean,0.7556412894375857,0.00401117307851122,False,100,1,0,20_news_orig,0
cont,0.8122332859174964,0.06871305720426056,False,5,1,2,atis_orig,0
clean,0.7687055476529161,0.0906803056587125,False,5,2,0,atis_orig,0
cont,0.8647226173541963,0.037253914243915914,False,10,2,5,atis_orig,0
clean,0.8931721194879089,0.031206717829514456,False,10,1,0,atis_orig,0
cont,0.9143669985775247,0.01530466874118092,False,20,1,5,atis_orig,0
