method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
ins,0.8252499999999999,0.008547660498639387,True,5,1,10,ag_news_orig,0
back,0.7665,0.038474017206421275,True,5,2,1,ag_news_orig,0
ins,0.8472500000000001,0.011205467415507488,True,10,1,15,ag_news_orig,0
back,0.8310000000000001,0.01392838827718412,True,10,2,5,ag_news_orig,0
ins,0.86175,0.011621639299169454,True,20,1,2,ag_news_orig,0
back,0.8537500000000001,0.00956882960450233,True,20,2,15,ag_news_orig,0
ins,0.8530000000000001,0.010356157588603983,False,30,1,10,ag_news_orig,0
back,0.8445,0.009473647660748218,False,30,2,5,ag_news_orig,0
ins,0.8634999999999999,0.007348469228349533,True,40,1,5,ag_news_orig,0
back,0.852,0.007810249675906653,True,40,2,5,ag_news_orig,0
ins,0.86825,0.009290452088031021,False,50,1,5,ag_news_orig,0
back,0.86625,0.008158584436040343,False,50,2,1,ag_news_orig,0
ins,0.8682500000000001,0.012798925736170214,True,100,1,10,ag_news_orig,0
back,0.86,0.008440971508067083,True,100,2,2,ag_news_orig,0
ins,0.5518175582990398,0.022476611673394813,True,5,1,10,20_news_orig,0
back,0.5260030864197531,0.01965782943595442,True,5,2,5,20_news_orig,0
ins,0.626003086419753,0.024575585505716348,False,10,1,2,20_news_orig,0
back,0.6112397119341565,0.01643414758015032,False,10,2,5,20_news_orig,0
ins,0.6707990397805212,0.01471647994782816,False,20,1,2,20_news_orig,0
back,0.6527949245541838,0.01953035144943748,False,20,2,5,20_news_orig,0
ins,0.7171810699588477,0.006072452852279,True,30,2,5,20_news_orig,0
back,0.7236111111111112,0.008517202726244797,True,30,1,1,20_news_orig,0
ins,0.7329303840877917,0.0036876433943105248,False,40,1,10,20_news_orig,0
back,0.7265260631001372,0.011630381753772522,False,40,2,5,20_news_orig,0
ins,0.7465363511659807,0.0057055495907572615,False,50,1,1,20_news_orig,0
back,0.7443244170096022,0.0073232796046238165,False,50,2,10,20_news_orig,0
ins,0.7547410836762689,0.00526116220046429,False,100,1,2,20_news_orig,0
back,0.7525205761316872,0.005784998116660343,False,100,2,1,20_news_orig,0
ins,0.7278805120910384,0.09016304350712864,False,5,2,1,atis_orig,0
back,0.7361308677098151,0.06312729129243841,False,5,1,2,atis_orig,0
ins,0.9223328592000002,0.010799574927797364,False,10,1,10,atis_orig,0
back,0.9213371266002843,0.019986154909501435,False,10,2,15,atis_orig,0
ins,0.9642958748221906,0.005846009271133544,True,20,1,15,atis_orig,0
back,0.9256045519203415,0.02577036558138317,True,20,2,1,atis_orig,0
ins,0.9843527739999999,0.0037635150962066093,True,25,1,5,atis_orig,0
back,0.9553342816500712,0.011698938944496211,True,25,2,15,atis_orig,0
ins,0.7650530861975887,0.033634040052147644,True,5,1,15,fb_orig,0
back,0.6334353068202268,0.06652537061799135,True,5,2,10,fb_orig,0
ins,0.8572791074320678,0.015320234043794225,True,10,1,15,fb_orig,0
back,0.8046247975526363,0.02546691475245179,True,10,2,10,fb_orig,0
ins,0.920946553895987,0.0044540146801075944,True,20,1,15,fb_orig,0
back,0.8865215044088537,0.01485615947119944,True,20,2,1,fb_orig,0
ins,0.9337772179233399,0.002467394133669608,True,30,1,15,fb_orig,0
back,0.9113910383300341,0.009481058320705907,True,30,2,1,fb_orig,0
ins,0.9360626237178333,0.004759787974906914,True,40,1,15,fb_orig,0
back,0.9111570991542198,0.009091484904111071,True,40,2,1,fb_orig,0
ins,0.9445564153320138,0.003922360871245983,True,50,1,15,fb_orig,0
back,0.9338671945294224,0.006156004492746898,True,50,2,15,fb_orig,0
ins,0.3024886877828054,0.015638378263615277,True,5,1,15,sst_orig,0
back,0.264524886877828,0.02518716409585932,True,5,2,2,sst_orig,0
ins,0.315972850678733,0.01977644762524413,False,10,1,15,sst_orig,0
back,0.30153846153846153,0.020243192915173087,False,10,2,15,sst_orig,0
ins,0.36171945701357466,0.013164543853887994,True,20,1,2,sst_orig,0
back,0.3341176470588234,0.03013330062227121,True,20,2,5,sst_orig,0
ins,0.36714932126696825,0.016726420460399512,False,30,1,10,sst_orig,0
back,0.35570135746606335,0.016315276383927966,False,30,2,10,sst_orig,0
ins,0.3861538461538461,0.008876624103676997,True,40,1,5,sst_orig,0
back,0.36918552036199087,0.010546869733239275,True,40,2,15,sst_orig,0
ins,0.3897285067873303,0.011324970186930034,False,50,2,5,sst_orig,0
back,0.392262443438914,0.014979289292782794,False,50,1,2,sst_orig,0
ins,0.3999095022624434,0.011717272984354397,False,100,2,2,sst_orig,0
back,0.41325791855203614,0.01980851599570163,False,100,1,2,sst_orig,0
ins,0.27828715365239287,0.01376819498447822,True,5,1,5,yelp_orig,0
back,0.24290032385750265,0.025870537992449618,True,5,2,10,yelp_orig,0
ins,0.38299388269161566,0.018142560379356947,False,10,1,15,yelp_orig,0
back,0.3616912558474271,0.03100644480826113,False,10,2,10,yelp_orig,0
ins,0.4055055775458798,0.021979446133752762,True,20,1,10,yelp_orig,0
back,0.3625116948542641,0.027672090182813715,True,20,2,2,yelp_orig,0
ins,0.4254983807124866,0.012651085364060483,False,30,2,5,yelp_orig,0
back,0.42721842389348685,0.010807851587083963,False,30,1,1,yelp_orig,0
ins,0.4415401223461677,0.017079279007256084,False,40,1,2,yelp_orig,0
back,0.4247499100395825,0.032680890172618694,False,40,2,10,yelp_orig,0
ins,0.4723929471032745,0.014552824626800695,False,50,1,1,yelp_orig,0
back,0.4531917956099316,0.018565778385959224,False,50,2,5,yelp_orig,0
ins,0.48500899604174164,0.021558709953082168,True,100,2,1,yelp_orig,0
