method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
para,0.82825,0.017394323786798956,False,5,1,10,ag_news_orig,0
cont_ins,0.8135,0.019880895352071035,False,5,2,5,ag_news_orig,0
para,0.851,0.006344288770224748,True,10,1,10,ag_news_orig,0
cont_ins,0.82925,0.00592135964116352,True,10,2,10,ag_news_orig,0
para,0.86625,0.005728219618694799,True,20,1,15,ag_news_orig,0
cont_ins,0.8557500000000001,0.0050062460986252,True,20,2,5,ag_news_orig,0
para,0.8435,0.005024937810560429,False,30,2,10,ag_news_orig,0
cont_ins,0.85025,0.0100902180353053,False,30,1,15,ag_news_orig,0
para,0.8574999999999999,0.005916079783099617,False,40,2,10,ag_news_orig,0
cont_ins,0.85975,0.007110731326663963,False,40,1,15,ag_news_orig,0
para,0.8644999999999999,0.005894913061275796,False,50,2,10,ag_news_orig,0
cont_ins,0.8647499999999999,0.005857687256929996,False,50,1,10,ag_news_orig,0
para,0.8717500000000001,0.005367727638395967,True,100,1,5,ag_news_orig,0
cont_ins,0.8637499999999999,0.008310385069297337,True,100,2,15,ag_news_orig,0
para,0.572085048010974,0.02352665820337621,False,5,1,15,20_news_orig,0
cont_ins,0.5715277777777777,0.02496208045324781,False,5,2,15,20_news_orig,0
para,0.6483710562414265,0.01045814209637896,False,10,2,10,20_news_orig,0
cont_ins,0.6485339506172839,0.006995301632881719,False,10,1,10,20_news_orig,0
para,0.6901577503429355,0.006748623544025394,True,20,1,10,20_news_orig,0
cont_ins,0.6780521262002743,0.00830130681321546,True,20,2,15,20_news_orig,0
para,0.7327503429355281,0.004883189989390276,True,30,1,10,20_news_orig,0
cont_ins,0.7213734567,0.005826429468674001,True,30,2,10,20_news_orig,0
para,0.7385202331961591,0.005485688990487367,True,40,1,10,20_news_orig,0
cont_ins,0.7270404663923181,0.008917461281239268,True,40,2,5,20_news_orig,0
para,0.7495799039780522,0.005105659626967005,True,50,1,5,20_news_orig,0
cont_ins,0.7422153635,0.007421781659812328,True,50,2,15,20_news_orig,0
para,0.7547325102880659,0.006045278345047349,False,100,2,1,20_news_orig,0
cont_ins,0.7549039780521263,0.006598702483649396,False,100,1,2,20_news_orig,0
para,0.9257467994310099,0.01634051832805051,True,5,1,15,atis_orig,0
cont_ins,0.8695590327169274,0.04132063708926666,True,5,2,10,atis_orig,0
para,0.9155049783999999,0.006524805047183171,True,10,2,15,atis_orig,0
cont_ins,0.934850640113798,0.015010988288219507,True,10,1,10,atis_orig,0
para,0.9523470839260313,0.008866254362587454,False,20,2,10,atis_orig,0
cont_ins,0.9610241820768138,0.013720802903883372,False,20,1,5,atis_orig,0
para,0.9708392603129445,0.010143554188339688,True,25,2,2,atis_orig,0
cont_ins,0.9789473684210526,0.0036433139331054887,True,25,1,5,atis_orig,0
para,0.7411552996220984,0.03749675715871018,False,5,2,10,fb_orig,0
cont_ins,0.7495411193089796,0.030356437452250706,False,5,1,15,fb_orig,0
para,0.8578189670685623,0.023807809969407945,False,10,1,15,fb_orig,0
cont_ins,0.8543458700737808,0.013243676180152647,False,10,2,15,fb_orig,0
para,0.9097894547417671,0.010004184809529217,True,20,1,15,fb_orig,0
cont_ins,0.8919021054525823,0.006738064421222354,True,20,2,5,fb_orig,0
para,0.926974986503509,0.004471248905374667,True,30,1,5,fb_orig,0
cont_ins,0.921018535180853,0.004267927232646272,True,30,2,15,fb_orig,0
para,0.9317077559834444,0.0032001834161919595,True,40,1,5,fb_orig,0
cont_ins,0.9245816087817168,0.004291384210984598,True,40,2,15,fb_orig,0
para,0.9370523663847401,0.0022702650765391826,False,50,2,10,fb_orig,0
cont_ins,0.9379341371243477,0.0030501405910430034,False,50,1,15,fb_orig,0
para,0.3223076923076923,0.015565939699778049,True,5,1,5,sst_orig,0
cont_ins,0.2984162895927601,0.021230593712266273,True,5,2,5,sst_orig,0
para,0.33538461538461545,0.015348373601921341,False,10,1,5,sst_orig,0
