method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
para,0.82825,0.0173943237867989,False,5,1,10,ag_news_orig,0
cont_ins,0.8135,0.019880895352071,False,5,2,5,ag_news_orig,0
para,0.851,0.0063442887702247,True,10,1,10,ag_news_orig,0
back,0.8310000000000001,0.0139283882771841,True,10,2,5,ag_news_orig,0
para,0.86625,0.0057282196186947,True,20,1,15,ag_news_orig,0
cont_ins,0.8557500000000001,0.0050062460986252,True,20,2,5,ag_news_orig,0
para,0.8435,0.0050249378105604,False,30,2,10,ag_news_orig,0
cont_ins,0.85025,0.0100902180353053,False,30,1,15,ag_news_orig,0
para,0.8574999999999999,0.0059160797830996,False,40,2,10,ag_news_orig,0
cont_ins,0.85975,0.0071107313266639,False,40,1,15,ag_news_orig,0
para,0.8644999999999999,0.0058949130612757,False,50,2,10,ag_news_orig,0
back,0.86625,0.0081585844360403,False,50,1,1,ag_news_orig,0
para,0.8717500000000001,0.0053677276383959,True,100,1,5,ag_news_orig,0
cont_ins,0.8637499999999999,0.0083103850692973,True,100,2,15,ag_news_orig,0
para,0.572085048010974,0.0235266582033762,False,5,1,15,20_news_orig,0
cont_ins,0.5715277777777777,0.0249620804532478,False,5,2,15,20_news_orig,0
para,0.6483710562414265,0.0104581420963789,False,10,2,10,20_news_orig,0
cont_ins,0.6485339506172839,0.0069953016328817,False,10,1,10,20_news_orig,0
para,0.6901577503429355,0.0067486235440253,True,20,1,10,20_news_orig,0
cont_ins,0.6780521262002743,0.0083013068132154,True,20,2,15,20_news_orig,0
para,0.7327503429355281,0.0048831899893902,True,30,1,10,20_news_orig,0
back,0.7236111111111112,0.0085172027262447,True,30,2,1,20_news_orig,0
para,0.7385202331961591,0.0054856889904873,True,40,1,10,20_news_orig,0
cont_ins,0.7270404663923181,0.0089174612812392,True,40,2,5,20_news_orig,0
para,0.7495799039780522,0.005105659626967,True,50,1,5,20_news_orig,0
back,0.7443244170096022,0.0073232796046238,False,50,2,10,20_news_orig,0
para,0.7547325102880659,0.0060452783450473,False,100,2,1,20_news_orig,0
cont_ins,0.7549039780521263,0.0065987024836493,False,100,1,2,20_news_orig,0
para,0.92574679943101,0.0163405183280505,True,5,1,15,atis_orig,0
cont_ins,0.8695590327169274,0.0413206370892666,True,5,2,10,atis_orig,0
para,0.9155049784,0.0065248050471831,True,10,2,15,atis_orig,0
cont_ins,0.934850640113798,0.0150109882882195,True,10,1,10,atis_orig,0
para,0.9523470839260312,0.0088662543625874,False,20,2,10,atis_orig,0
cont_ins,0.9610241820768138,0.0137208029038833,False,20,1,5,atis_orig,0
para,0.9708392603129444,0.0101435541883396,True,25,2,2,atis_orig,0
cont_ins,0.9789473684210526,0.0036433139331054,True,25,1,5,atis_orig,0
para,0.7411552996220984,0.0374967571587101,False,5,2,10,fb_orig,0
cont_ins,0.7495411193089796,0.0303564374522507,False,5,1,15,fb_orig,0
para,0.8578189670685623,0.0238078099694079,False,10,1,15,fb_orig,0
cont_ins,0.8543458700737808,0.0132436761801526,False,10,2,15,fb_orig,0
para,0.9097894547417672,0.0100041848095292,True,20,1,15,fb_orig,0
cont_ins,0.8919021054525823,0.0067380644212223,True,20,2,5,fb_orig,0
para,0.926974986503509,0.0044712489053746,True,30,1,5,fb_orig,0
cont_ins,0.921018535180853,0.0042679272326462,True,30,2,15,fb_orig,0
para,0.9317077559834444,0.0032001834161919,True,40,1,5,fb_orig,0
cont_ins,0.9245816087817168,0.0042913842109845,True,40,2,15,fb_orig,0
para,0.93705236638474,0.0022702650765391,False,50,2,10,fb_orig,0
cont_ins,0.9379341371243476,0.003050140591043,False,50,1,15,fb_orig,0
para,0.3223076923076923,0.015565939699778,True,5,1,5,sst_orig,0
cont_ins,0.2984162895927601,0.0212305937122662,True,5,2,5,sst_orig,0
para,0.3353846153846154,0.0153483736019213,False,10,1,5,sst_orig,0
cont_ins,0.3353393665158371,0.0081308326756354,False,10,2,10,sst_orig,0
para,0.3542533936651583,0.0161081524164509,False,20,1,5,sst_orig,0
cont_ins,0.3467873303167421,0.0094291520562034,False,20,2,10,sst_orig,0
para,0.3715384615384615,0.0170660234214857,False,30,1,1,sst_orig,0
cont_ins,0.3581900452488687,0.0194013726151469,False,30,2,10,sst_orig,0
para,0.3737556561085973,0.0134641048544165,False,40,1,2,sst_orig,0
cont_ins,0.3720814479638009,0.017966764062574,False,40,2,10,sst_orig,0
para,0.3901809954751131,0.0110393330479076,False,50,1,5,sst_orig,0
back,0.392262443438914,0.0149792892927827,False,50,1,2,sst_orig,0
para,0.4081900452488687,0.0148777977782607,False,100,1,1,sst_orig,0
back,0.4132579185520361,0.0198085159957016,False,100,1,2,sst_orig,0
para,0.3087801367398345,0.0117112294358742,True,5,1,15,yelp_orig,0
cont_ins,0.2587837351565311,0.014683014693569,True,5,2,15,yelp_orig,0
para,0.3795753868297948,0.0127780906781825,True,10,1,15,yelp_orig,0
back,0.3616912558474271,0.0310064448082611,False,10,2,10,yelp_orig,0
para,0.4088233177401943,0.0149796585197733,True,20,1,5,yelp_orig,0
cont_ins,0.3845483988,0.0114852104127215,True,20,2,10,yelp_orig,0
para,0.430363440086362,0.0122206151491911,False,30,1,5,yelp_orig,0
back,0.4272184238934868,0.0108078515870839,False,30,2,1,yelp_orig,0
para,0.4508600215905002,0.00992124922275,True,40,2,2,yelp_orig,0
cont_ins,0.4631162288,0.0077345035500274,True,40,1,5,yelp_orig,0
para,0.4747175242893126,0.0096622574201589,True,50,1,2,yelp_orig,0
back,0.4531917956099316,0.0185657783859592,True,50,2,5,yelp_orig,0
para,0.4962216624685139,0.0098912876005451,False,100,1,2,yelp_orig,0
back,0.5101835192515293,0.0139153337286866,True,100,1,10,yelp_orig,0
para,0.782,0.0114455231422596,True,5,2,5,ag_news_orig,1
cont_ins,0.79275,0.015060295481829,True,5,1,15,ag_news_orig,1
para,0.8174999999999999,0.0150416089564913,False,10,2,1,ag_news_orig,1
cont_ins,0.8249999999999998,0.0113468057179102,False,10,1,15,ag_news_orig,1
para,0.8462500000000001,0.0067314560089181,False,20,2,2,ag_news_orig,1
back,0.8504999999999999,0.0121860576069539,False,20,1,5,ag_news_orig,1
para,0.83725,0.0091138630667791,False,30,2,2,ag_news_orig,1
cont_ins,0.84575,0.0081432487374511,False,30,1,5,ag_news_orig,1
para,0.85375,0.0070044628630609,False,40,2,15,ag_news_orig,1
cont_ins,0.8540000000000001,0.0096306801421291,False,40,1,10,ag_news_orig,1
para,0.8472500000000001,0.0091821838361034,False,50,2,15,ag_news_orig,1
cont_ins,0.84825,0.0057063561052566,False,50,1,10,ag_news_orig,1
para,0.8705,0.0073143694191638,True,100,1,10,ag_news_orig,1
cont_ins,0.8627499999999999,0.006841966091702,True,100,2,10,ag_news_orig,1
para,0.5624228395061728,0.0224946314201699,False,5,2,10,20_news_orig,1
cont_ins,0.5802469135802469,0.0159424914200721,False,5,1,10,20_news_orig,1
para,0.7050411522633745,0.0084438255390075,True,10,1,10,20_news_orig,1
cont_ins,0.6297925240000001,0.0161183094605592,True,10,2,5,20_news_orig,1
para,0.7311556927297669,0.0059216982534803,True,20,1,5,20_news_orig,1
cont_ins,0.6768689985,0.0087608952707569,True,20,2,10,20_news_orig,1
para,0.7440757887517147,0.0041975382188133,True,30,1,5,20_news_orig,1
cont_ins,0.7023319615,0.0101093298977656,True,30,2,15,20_news_orig,1
para,0.7484482167352537,0.0068998945711144,True,40,1,5,20_news_orig,1
cont_ins,0.7174982853223593,0.0110915557064556,True,40,2,5,20_news_orig,1
para,0.7464677640603568,0.0055106015394411,True,50,1,2,20_news_orig,1
back,0.7329903978052127,0.0061132766866488,True,50,2,15,20_news_orig,1
para,0.7556155692729767,0.0061409941493622,False,100,1,2,20_news_orig,1
cont_ins,0.7545181755829904,0.0061189071037833,False,100,2,5,20_news_orig,1
para,0.8159317211948791,0.0292919367637692,False,5,2,15,atis_orig,1
cont_ins,0.8462304409672831,0.0458136370122799,False,5,1,10,atis_orig,1
para,0.960881934566145,0.0103801703551396,True,10,1,10,atis_orig,1
cont_ins,0.9361308677098152,0.0176919537229134,True,10,2,10,atis_orig,1
para,0.940682788051209,0.0117481288136307,True,20,2,2,atis_orig,1
cont_ins,0.952773826458037,0.0058581110332785,True,20,1,15,atis_orig,1
para,0.9660028449502134,0.016991880454618,False,25,1,5,atis_orig,1
cont_ins,0.9578947368421052,0.0134075353262568,False,25,2,15,atis_orig,1
para,0.8504948713334534,0.0205979700845904,True,5,1,15,fb_orig,1
cont_ins,0.7998920280727011,0.0211358858922844,True,5,2,10,fb_orig,1
para,0.8834622998020516,0.0086171850347884,True,10,1,15,fb_orig,1
cont_ins,0.8565233039409753,0.0118466221529811,True,10,2,15,fb_orig,1
para,0.8960230340111572,0.0061103589504277,True,20,1,15,fb_orig,1
cont_ins,0.8638833903185172,0.0101721169667002,True,20,2,15,fb_orig,1
para,0.9233939175814287,0.0056323055639082,True,30,1,15,fb_orig,1
cont_ins,0.9106352348389418,0.0077976864424296,True,30,2,15,fb_orig,1
para,0.9264531221882312,0.0060428117158621,False,40,2,15,fb_orig,1
cont_ins,0.9317977325895268,0.0052993089276389,False,40,1,10,fb_orig,1
para,0.9366744646391938,0.0047980062103669,False,50,2,1,fb_orig,1
cont_ins,0.9380061184092134,0.0025981280575814,False,50,1,10,fb_orig,1
para,0.3075113122171945,0.0204624970506785,True,5,1,15,sst_orig,1
cont_ins,0.2887782805429864,0.0171621509096243,True,5,2,5,sst_orig,1
para,0.3357013574660633,0.0106434919690688,True,10,1,5,sst_orig,1
cont_ins,0.2989140271493212,0.0211822709308865,True,10,2,5,sst_orig,1
para,0.3653393665158371,0.0153382319152191,False,20,1,15,sst_orig,1
cont_ins,0.3528506787330316,0.0178830948606786,False,20,2,5,sst_orig,1
para,0.3704072398190045,0.0106545473489064,False,30,2,10,sst_orig,1
cont_ins,0.3720814479638009,0.0173982341760792,False,30,1,2,sst_orig,1
para,0.3693212669683258,0.0157096356963829,False,40,2,2,sst_orig,1
cont_ins,0.3735746606334841,0.0133452715062343,False,40,1,2,sst_orig,1
para,0.3771493212669683,0.0099696515386842,False,50,1,10,sst_orig,1
back,0.38,0.0216238468749219,False,50,1,10,sst_orig,1
para,0.4144796380090497,0.0134944841909947,False,100,1,2,sst_orig,1
back,0.4160180995475112,0.0106967407029152,False,100,1,5,sst_orig,1
para,0.3648938467074487,0.0243539140644511,True,5,1,15,yelp_orig,1
back,0.3144080604534005,0.0545973909180551,True,5,2,5,yelp_orig,1
para,0.4118675782655631,0.0300943391335363,False,10,1,1,yelp_orig,1
cont_ins,0.4077222022,0.0167305575689648,False,10,2,10,yelp_orig,1
para,0.4397768981648074,0.0210063731953311,False,20,2,2,yelp_orig,1
cont_ins,0.442849946,0.010377085023621,False,20,1,5,yelp_orig,1
para,0.4488521050737675,0.0230141138998203,False,30,1,2,yelp_orig,1
back,0.4475134940626124,0.0169193190839389,False,30,2,1,yelp_orig,1
para,0.4555379632961497,0.0213021904101252,False,40,1,2,yelp_orig,1
cont_ins,0.4485786253,0.0099074025318193,False,40,2,5,yelp_orig,1
para,0.4553652392947103,0.0130097191290151,False,50,1,2,yelp_orig,1
back,0.4528823317740194,0.0256463234999237,False,50,2,5,yelp_orig,1
para,0.5059949622166247,0.0136631005346669,True,100,1,1,yelp_orig,1
back,0.4999280316660669,0.0141037829676654,False,100,2,15,yelp_orig,1
para,0.7837500000000001,0.0134745129782118,False,5,1,15,ag_news_orig,2
