method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
swap,0.8045,0.014611639196202456,True,5,1,5,ag_news_orig,0
clean,0.7020000000000001,0.06065063890842373,True,5,2,0,ag_news_orig,0
swap,0.8252499999999999,0.016064323826417346,False,10,1,1,ag_news_orig,0
clean,0.8057500000000001,0.019970290433541517,False,10,2,0,ag_news_orig,0
swap,0.8515,0.00994987437106621,False,20,1,1,ag_news_orig,0
clean,0.84325,0.005482928049865333,False,20,2,0,ag_news_orig,0
swap,0.852,0.008645808232895284,False,30,1,1,ag_news_orig,0
clean,0.8435,0.008958236433584461,False,30,2,0,ag_news_orig,0
swap,0.8597499999999998,0.0085476604986394,True,40,1,2,ag_news_orig,0
clean,0.8467500000000001,0.012944593465999618,True,40,2,0,ag_news_orig,0
swap,0.8654999999999999,0.0065954529791364645,True,50,1,1,ag_news_orig,0
clean,0.8532500000000001,0.011728704105739908,True,50,2,0,ag_news_orig,0
swap,0.86875,0.00743723739032176,True,100,1,1,ag_news_orig,0
clean,0.85875,0.005153882032022084,True,100,2,0,ag_news_orig,0
swap,0.5596622085048011,0.020515544730675576,True,5,1,5,20_news_orig,0
clean,0.44142661179698217,0.043699019707927486,True,5,2,0,20_news_orig,0
swap,0.6378858024691357,0.008680914360313036,True,10,1,5,20_news_orig,0
clean,0.5849108367626885,0.015755368474870655,True,10,2,0,20_news_orig,0
swap,0.669650205761317,0.0135225353653468,False,20,1,10,20_news_orig,0
clean,0.6612740054869684,0.019048611981442167,False,20,2,0,20_news_orig,0
swap,0.7176268861454048,0.007978982997979955,False,30,1,5,20_news_orig,0
clean,0.7130401234567901,0.013123191533962934,False,30,2,0,20_news_orig,0
swap,0.7292095336076818,0.0064075108250181674,False,40,1,1,20_news_orig,0
clean,0.7245970507544582,0.010603174037396518,False,40,2,0,20_news_orig,0
swap,0.7402692043895747,0.007492498748241645,True,50,2,1,20_news_orig,0
clean,0.7471707818930041,0.003911758105445246,True,50,1,0,20_news_orig,0
swap,0.7510802469135801,0.00559090095887623,False,100,2,1,20_news_orig,0
clean,0.7556412894375857,0.00401117307851122,False,100,1,0,20_news_orig,0
swap,0.7381223328591748,0.04027614615609949,False,5,2,15,atis_orig,0
clean,0.7687055476529161,0.0906803056587125,False,5,1,0,atis_orig,0
swap,0.8685633001422476,0.050573741406489875,False,10,2,2,atis_orig,0
clean,0.8931721194879089,0.031206717829514456,False,10,1,0,atis_orig,0
swap,0.9119487908961593,0.02256719883282643,False,20,2,2,atis_orig,0
clean,0.9119487908961593,0.017554172766148103,False,20,2,0,atis_orig,0
swap,0.9625889046941678,0.009815078236130882,False,25,1,5,atis_orig,0
clean,0.9513513513513514,0.017500491037530267,False,25,2,0,atis_orig,0
swap,0.6192010077379881,0.029916045714776768,True,5,1,5,fb_orig,0
clean,0.4373222962029872,0.11805920419192965,True,5,2,0,fb_orig,0
swap,0.7753644052546338,0.016432014483174676,True,10,1,5,fb_orig,0
clean,0.7004318877091955,0.06346422207697325,True,10,2,0,fb_orig,0
swap,0.8641893107791974,0.017858042149508202,True,20,1,2,fb_orig,0
clean,0.7802771279467338,0.029421442154143627,True,20,2,0,fb_orig,0
swap,0.9131185891668165,0.005729637931871841,True,30,1,2,fb_orig,0
clean,0.8633975166456722,0.015464348155693742,True,30,2,0,fb_orig,0
swap,0.9215583948173475,0.005326402293314585,True,40,1,5,fb_orig,0
clean,0.837016375742307,0.026821608230329096,True,40,2,0,fb_orig,0
swap,0.9296023034011158,0.0036409297976722982,True,50,1,10,fb_orig,0
clean,0.8911463019614901,0.012432527109620532,True,50,2,0,fb_orig,0
swap,0.2881900452488687,0.013870752703196177,True,5,1,10,sst_orig,0
clean,0.23669683257918547,0.02078046601147879,True,5,2,0,sst_orig,0
swap,0.3286877828054298,0.015082473597103817,True,10,1,5,sst_orig,0
clean,0.27375565610859726,0.027034447774550305,True,10,2,0,sst_orig,0
swap,0.35380090497737554,0.01314002530215753,True,20,1,5,sst_orig,0
clean,0.3050678733031674,0.025367469871302187,True,20,2,0,sst_orig,0
swap,0.3712217194570136,0.012692610154404187,False,30,1,1,sst_orig,0
clean,0.360814479638009,0.023001562693108792,False,30,2,0,sst_orig,0
swap,0.37941176470588234,0.007803954218174557,True,40,1,2,sst_orig,0
clean,0.351447963800905,0.019686170273958314,True,40,2,0,sst_orig,0
swap,0.39158371040723977,0.010055434891055816,True,50,1,1,sst_orig,0
clean,0.37108597285067874,0.016445271677459246,True,50,2,0,sst_orig,0
swap,0.41371040723981906,0.010611896832065352,False,100,1,1,sst_orig,0
clean,0.41027149321266965,0.020048925640550146,False,100,2,0,sst_orig,0
swap,0.2571284634760705,0.019721760814694518,True,5,1,10,yelp_orig,0
clean,0.21928751349406256,0.019917423324729667,True,5,2,0,yelp_orig,0
swap,0.32860021590500177,0.017144073189332098,True,10,1,2,yelp_orig,0
clean,0.29293270960777257,0.038751069223950184,True,10,2,0,yelp_orig,0
