method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
swap,0.8045,0.014611639196202456,False,5,2,5,ag_news_orig,0
comb,0.81225,0.02254024179107225,False,5,1,15,ag_news_orig,0
swap,0.8252499999999999,0.016064323826417346,False,10,2,1,ag_news_orig,0
comb,0.8365,0.015337861650177967,False,10,1,1,ag_news_orig,0
swap,0.8515,0.00994987437106621,False,20,2,1,ag_news_orig,0
comb,0.85725,0.006067330549755805,False,20,1,10,ag_news_orig,0
swap,0.852,0.008645808232895284,False,30,1,1,ag_news_orig,0
comb,0.85075,0.00829533001151855,False,30,2,10,ag_news_orig,0
swap,0.8597499999999998,0.0085476604986394,False,40,1,2,ag_news_orig,0
comb,0.8567499999999999,0.007075485849042467,False,40,2,15,ag_news_orig,0
swap,0.8654999999999999,0.0065954529791364645,False,50,2,1,ag_news_orig,0
comb,0.8682500000000001,0.005595757321399838,False,50,1,5,ag_news_orig,0
swap,0.86875,0.00743723739032176,False,100,1,1,ag_news_orig,0
comb,0.8637500000000001,0.007004462863060978,False,100,2,2,ag_news_orig,0
swap,0.5596622085048011,0.020515544730675576,False,5,2,5,20_news_orig,0
comb,0.5813871742112482,0.026705851040376802,False,5,1,10,20_news_orig,0
swap,0.6378858024691357,0.008680914360313036,True,10,2,5,20_news_orig,0
comb,0.6496399176954734,0.006756047499159213,True,10,1,10,20_news_orig,0
swap,0.669650205761317,0.0135225353653468,False,20,2,10,20_news_orig,0
comb,0.6810613854595337,0.012867022018728582,False,20,1,1,20_news_orig,0
swap,0.7176268861454048,0.007978982997979955,False,30,2,5,20_news_orig,0
comb,0.7213734567901234,0.009182531026931513,False,30,1,1,20_news_orig,0
swap,0.7292095336076818,0.0064075108250181674,False,40,2,1,20_news_orig,0
comb,0.7310871056241427,0.007289114616431846,False,40,1,2,20_news_orig,0
swap,0.7402692043895747,0.007492498748241645,False,50,2,1,20_news_orig,0
comb,0.7441358024691358,0.004119368057554486,False,50,1,1,20_news_orig,0
swap,0.7510802469135801,0.00559090095887623,False,100,2,1,20_news_orig,0
comb,0.7522376543209878,0.007628432012724694,False,100,1,10,20_news_orig,0
swap,0.7381223328591748,0.04027614615609949,True,5,2,15,atis_orig,0
comb,0.8241820768136557,0.04922750458184523,True,5,1,15,atis_orig,0
swap,0.8685633001422476,0.050573741406489875,True,10,2,2,atis_orig,0
comb,0.9277382645803698,0.014349382888100705,True,10,1,15,atis_orig,0
swap,0.9119487908961593,0.02256719883282643,True,20,2,2,atis_orig,0
comb,0.9425320056899004,0.02709581722534434,True,20,1,10,atis_orig,0
swap,0.9625889046941678,0.009815078236130882,True,25,2,5,atis_orig,0
comb,0.9772403982930298,0.006487484637832972,True,25,1,10,atis_orig,0
swap,0.6192010077379881,0.029916045714776768,True,5,2,5,fb_orig,0
comb,0.7717473456901205,0.021928493265820866,True,5,1,10,fb_orig,0
swap,0.7753644052546338,0.016432014483174676,True,10,2,5,fb_orig,0
comb,0.8677523843800611,0.009238612839991688,True,10,1,15,fb_orig,0
swap,0.8641893107791974,0.017858042149508202,True,20,2,2,fb_orig,0
comb,0.9102933237358288,0.005470844021436087,True,20,1,10,fb_orig,0
swap,0.9131185891668165,0.005729637931871841,True,30,2,2,fb_orig,0
comb,0.9244376462119849,0.003806722951278727,True,30,1,10,fb_orig,0
swap,0.9215583948173475,0.005326402293314585,True,40,2,5,fb_orig,0
comb,0.927676804030952,0.0037337147630917404,True,40,1,10,fb_orig,0
swap,0.9296023034011158,0.0036409297976722982,True,50,2,10,fb_orig,0
comb,0.9389958610761203,0.004415275920959225,True,50,1,15,fb_orig,0
swap,0.2881900452488687,0.013870752703196177,False,5,2,10,sst_orig,0
comb,0.30108597285067873,0.014286322660911722,False,5,1,15,sst_orig,0
swap,0.3286877828054298,0.015082473597103817,False,10,2,5,sst_orig,0
comb,0.3339366515837104,0.020613827264501235,False,10,1,2,sst_orig,0
swap,0.35380090497737554,0.01314002530215753,False,20,1,5,sst_orig,0
comb,0.3516289592760181,0.012473349489727493,False,20,2,5,sst_orig,0
swap,0.3712217194570136,0.012692610154404187,False,30,1,1,sst_orig,0
comb,0.36049773755656106,0.013742626002914784,False,30,2,2,sst_orig,0
swap,0.37941176470588234,0.007803954218174557,False,40,1,2,sst_orig,0
comb,0.37253393665158374,0.019758839647896365,False,40,2,5,sst_orig,0
swap,0.39158371040723977,0.010055434891055816,False,50,2,1,sst_orig,0
comb,0.39361990950226244,0.015750831596225204,False,50,1,2,sst_orig,0
swap,0.41371040723981906,0.010611896832065352,False,100,1,1,sst_orig,0
comb,0.4088235294117647,0.01820585297236083,False,100,2,1,sst_orig,0
swap,0.2571284634760705,0.019721760814694518,False,5,2,10,yelp_orig,0
comb,0.26388629003238573,0.016029887824493355,False,5,1,5,yelp_orig,0
swap,0.32860021590500177,0.017144073189332098,True,10,2,2,yelp_orig,0
comb,0.36318100035984163,0.018680606268423876,True,10,1,5,yelp_orig,0
swap,0.39104713925872614,0.030109390414002644,False,20,1,2,yelp_orig,0
comb,0.38902482907520686,0.02609165768887056,False,20,2,5,yelp_orig,0
swap,0.41296869377473905,0.019667111478694314,False,30,1,1,yelp_orig,0
comb,0.4128175602734797,0.016067950405385806,False,30,2,5,yelp_orig,0
