method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
swap,0.8065,0.015858751527153707,False,5,2,5,ag_news_orig,0
comb,0.81225,0.02254024179107225,False,5,1,15,ag_news_orig,0
swap,0.843,0.005999999999999999,False,10,1,15,ag_news_orig,0
comb,0.8365,0.015337861650177967,False,10,2,1,ag_news_orig,0
swap,0.8572500000000002,0.004930770730828999,False,20,1,10,ag_news_orig,0
comb,0.85725,0.006067330549755805,False,20,2,10,ag_news_orig,0
swap,0.8512500000000001,0.007520804478245658,False,30,1,10,ag_news_orig,0
comb,0.85075,0.00829533001151855,False,30,2,10,ag_news_orig,0
swap,0.8574999999999999,0.006224949798994372,False,40,1,5,ag_news_orig,0
comb,0.8567499999999999,0.007075485849042467,False,40,2,15,ag_news_orig,0
swap,0.8680000000000001,0.00415331193145905,False,50,2,5,ag_news_orig,0
comb,0.8682500000000001,0.005595757321399838,False,50,1,5,ag_news_orig,0
swap,0.8637500000000001,0.007846177413237624,False,100,2,15,ag_news_orig,0
comb,0.8637500000000001,0.007004462863060978,False,100,2,2,ag_news_orig,0
swap,0.5390775034293553,0.02378341332874245,True,5,2,1,20_news_orig,0
comb,0.5813871742112482,0.026705851040376802,True,5,1,10,20_news_orig,0
swap,0.6231567215363512,0.027675376513135733,True,10,2,1,20_news_orig,0
comb,0.6496399176954734,0.006756047499159213,True,10,1,10,20_news_orig,0
swap,0.6543810013717422,0.029403798190606793,True,20,2,1,20_news_orig,0
comb,0.6810613854595337,0.012867022018728582,True,20,1,1,20_news_orig,0
swap,0.7045867626886145,0.016441159084687348,True,30,2,1,20_news_orig,0
comb,0.7213734567901234,0.009182531026931513,True,30,1,1,20_news_orig,0
swap,0.7160665294924554,0.01448597178869677,True,40,2,2,20_news_orig,0
comb,0.7310871056241427,0.007289114616431846,True,40,1,2,20_news_orig,0
swap,0.7271347736625515,0.010600678163113813,True,50,2,1,20_news_orig,0
comb,0.7441358024691358,0.004119368057554486,True,50,1,1,20_news_orig,0
swap,0.7300840192043896,0.019961014903743638,True,100,2,1,20_news_orig,0
comb,0.7522376543209878,0.007628432012724694,True,100,1,10,20_news_orig,0
swap,0.8036984352773826,0.0975676909634202,False,5,2,1,atis_orig,0
comb,0.8241820768136557,0.04922750458184523,False,5,1,15,atis_orig,0
swap,0.8576102418207681,0.03297228566118512,True,10,2,10,atis_orig,0
comb,0.9277382645803698,0.014349382888100705,True,10,1,15,atis_orig,0
swap,0.8761024182076815,0.04210358114359789,True,20,2,5,atis_orig,0
