method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
para,0.82,0.0066143782776614,True,5,1,5,ag_news_orig,0
cont_ins,0.717,0.0314602924334787,True,5,2,15,ag_news_orig,0
para,0.8542500000000001,0.0059213596411635,True,10,1,5,ag_news_orig,0
cont_ins,0.79825,0.0104910676291786,True,10,2,15,ag_news_orig,0
para,0.866,0.0061441028637222,True,20,1,2,ag_news_orig,0
cont_ins,0.8375,0.0144481832767998,True,20,2,15,ag_news_orig,0
para,0.8530000000000001,0.0085732140997411,True,30,1,2,ag_news_orig,0
cont_ins,0.83375,0.011305419054595,True,30,2,15,ag_news_orig,0
para,0.8602500000000001,0.0075374067158406,True,40,1,5,ag_news_orig,0
cont_ins,0.8412500000000002,0.0130981868974297,True,40,2,15,ag_news_orig,0
para,0.869,0.0058309518948452,True,50,1,2,ag_news_orig,0
cont_ins,0.8452500000000001,0.0097756073980085,True,50,2,15,ag_news_orig,0
para,0.8735000000000002,0.0070887234393788,True,100,1,5,ag_news_orig,0
cont_ins,0.85625,0.01125,True,100,2,15,ag_news_orig,0
para,0.5229423868312757,0.0231021936267157,True,5,1,10,20_news_orig,0
cont_ins,0.4560956790123455,0.0427889972111429,True,5,2,15,20_news_orig,0
para,0.5892575445816186,0.0185375785448441,True,10,1,10,20_news_orig,0
cont_ins,0.5568329904,0.0229413182289871,True,10,2,15,20_news_orig,0
para,0.6238082990397805,0.0209173963920439,True,20,1,15,20_news_orig,0
cont_ins,0.57980109739369,0.0223929219130649,True,20,2,15,20_news_orig,0
para,0.6535579561042524,0.0214705937082747,True,30,1,15,20_news_orig,0
cont_ins,0.6175754458161865,0.0232394240172312,True,30,2,15,20_news_orig,0
para,0.6799468449931413,0.0063242846185899,True,40,2,10,20_news_orig,0
cont_ins,0.6921449246000001,0.004822583571305,True,40,1,15,20_news_orig,0
para,0.6952760631001371,0.010778699462166,True,50,2,10,20_news_orig,0
cont_ins,0.7075637173,0.0043371597407985,True,50,1,15,20_news_orig,0
para,0.7138888888888889,0.0053890820676393,False,100,2,5,20_news_orig,0
cont_ins,0.7191015088,0.0070438821836978,False,100,1,10,20_news_orig,0
para,0.8534850640113799,0.042460345822473,False,5,1,15,atis_orig,0
cont_ins,0.8083926031294452,0.0526894073143244,False,5,2,15,atis_orig,0
para,0.8825035561877668,0.0294778579732315,False,10,2,10,atis_orig,0
cont_ins,0.8933143669985775,0.0369569873592221,False,10,1,15,atis_orig,0
para,0.9423897581792318,0.0171907749803765,True,20,1,10,atis_orig,0
cont_ins,0.919203413940256,0.0254841487073214,True,20,2,15,atis_orig,0
para,0.9705547652916074,0.0092635790356557,False,25,1,15,atis_orig,0
cont_ins,0.9581792318634426,0.0152304509978084,False,25,2,10,atis_orig,0
para,0.799637394,0.016633481566665,True,5,2,10,fb_orig,0
cont_ins,0.8542199028252654,0.0062329568828105,True,5,1,15,fb_orig,0
para,0.8651902102000001,0.0138245306888297,True,10,2,10,fb_orig,0
cont_ins,0.9052546337952132,0.0039657131715196,True,10,1,15,fb_orig,0
para,0.9197694802,0.0049719058066078,False,20,2,10,fb_orig,0
cont_ins,0.9232859456541298,0.0034020677100767,False,20,1,15,fb_orig,0
para,0.924122008,0.0085301901911862,False,30,2,2,fb_orig,0
