method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
swap,0.6815,0.052680641605811894,True,5,1,15,ag_news_orig,0
back,0.3795,0.04598641103630507,True,5,2,1,ag_news_orig,0
swap,0.784,0.014585952145814816,True,10,1,15,ag_news_orig,0
back,0.558,0.04387197283004265,True,10,2,5,ag_news_orig,0
swap,0.8185,0.017684739183827382,True,20,1,15,ag_news_orig,0
back,0.6049999999999999,0.055022722578949156,True,20,2,15,ag_news_orig,0
swap,0.8275,0.01462019151721343,True,30,1,15,ag_news_orig,0
back,0.73925,0.028263271219022064,True,30,2,1,ag_news_orig,0
swap,0.8344999999999999,0.010535653752852755,True,40,1,10,ag_news_orig,0
back,0.6599999999999999,0.04210106887004175,True,40,2,2,ag_news_orig,0
swap,0.8470000000000001,0.0155643824162734,True,50,1,15,ag_news_orig,0
back,0.7384999999999999,0.022699118925632332,True,50,2,2,ag_news_orig,0
swap,0.8554999999999999,0.014089002803605385,True,100,1,15,ag_news_orig,0
back,0.83475,0.019920153111861363,True,100,2,1,ag_news_orig,0
swap,0.47870370370370374,0.03433817398833284,True,5,1,15,20_news_orig,0
back,0.2391975308641975,0.0305934483740653,True,5,2,15,20_news_orig,0
swap,0.5724537037037037,0.02540077904107775,True,10,1,15,20_news_orig,0
back,0.3125771604938271,0.03646479707489534,True,10,2,1,20_news_orig,0
swap,0.5824331275720165,0.027134069362437136,True,20,1,10,20_news_orig,0
back,0.31942729766803835,0.06958585451575765,True,20,2,5,20_news_orig,0
swap,0.6392746913580247,0.022545052471939303,True,30,1,15,20_news_orig,0
back,0.4427469135802469,0.02004482363756304,True,30,2,1,20_news_orig,0
swap,0.6649691358024692,0.02448631715001027,True,40,1,1,20_news_orig,0
back,0.49062071330589846,0.04343128519845646,True,40,2,2,20_news_orig,0
swap,0.6962791495198902,0.014729879364061657,True,50,1,10,20_news_orig,0
back,0.5374314128943759,0.02846135561853137,True,50,2,5,20_news_orig,0
swap,0.7188185871056241,0.008138493939186729,True,100,1,15,20_news_orig,0
back,0.6748971193415636,0.011660942614039929,True,100,2,1,20_news_orig,0
swap,0.7230440967283072,0.07435355078173085,True,5,1,15,atis_orig,0
back,0.3099573257467994,0.21523364559960972,True,5,2,1,atis_orig,0
swap,0.8544807965860597,0.03157798622196532,True,10,1,10,atis_orig,0
back,0.6256045519203413,0.21369988918345745,True,10,2,15,atis_orig,0
swap,0.8738264580369843,0.0247203910558604,True,20,1,10,atis_orig,0
back,0.6567567567567567,0.2497341714813741,True,20,2,5,atis_orig,0
swap,0.9469416785206259,0.018764274540325376,True,25,1,15,atis_orig,0
back,0.803556187766714,0.09375708133501132,True,25,2,5,atis_orig,0
swap,0.3304300881770739,0.0588273518718026,False,5,1,15,fb_orig,0
back,0.2929458340831384,0.16777584209857468,False,5,2,1,fb_orig,0
swap,0.6034551016735648,0.05900650185917203,True,10,2,15,fb_orig,0
back,0.7912902645312219,0.025054476718298895,True,10,1,5,fb_orig,0
swap,0.6963109591506209,0.08987999852330462,True,20,2,15,fb_orig,0
back,0.8590786395537162,0.006707428595784808,True,20,1,15,fb_orig,0
swap,0.8168256253374123,0.04387408778964048,True,30,2,15,fb_orig,0
back,0.9015655929458342,0.004763154510726172,True,30,1,15,fb_orig,0
swap,0.7636314558214864,0.10239411302885036,True,40,2,15,fb_orig,0
back,0.879953212164837,0.005795191965737323,True,40,1,15,fb_orig,0
