method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
swap,0.6787499999999999,0.04548694867761522,True,5,1,15,ag_news_orig,0
clean,0.2505,0.040385641012617345,True,5,2,0,ag_news_orig,0
swap,0.7925000000000001,0.0189406969248758,True,10,1,15,ag_news_orig,0
clean,0.33775,0.03857541315397672,True,10,2,0,ag_news_orig,0
swap,0.8335000000000001,0.015297058540778353,True,20,1,15,ag_news_orig,0
clean,0.331,0.06094259594077035,True,20,2,0,ag_news_orig,0
swap,0.833,0.008046738469715542,True,30,1,15,ag_news_orig,0
clean,0.38699999999999996,0.03820667480951463,True,30,2,0,ag_news_orig,0
swap,0.84275,0.00977560739800857,True,40,1,15,ag_news_orig,0
clean,0.382,0.046647615158762396,True,40,2,0,ag_news_orig,0
swap,0.8394999999999999,0.006500000000000003,True,50,1,10,ag_news_orig,0
clean,0.36150000000000004,0.040499999999999994,True,50,2,0,ag_news_orig,0
swap,0.8492500000000002,0.008370334521391605,True,100,1,15,ag_news_orig,0
clean,0.5967500000000001,0.03959245508932225,True,100,2,0,ag_news_orig,0
swap,0.44439300411522636,0.04623456166928012,True,5,1,15,20_news_orig,0
clean,0.1892489711934156,0.054509669616798234,True,5,2,0,20_news_orig,0
swap,0.5250428669410151,0.03865233795703395,True,10,1,15,20_news_orig,0
clean,0.1857510288065843,0.042784955893274676,True,10,2,0,20_news_orig,0
swap,0.5481910150891631,0.02037335243549111,True,20,1,15,20_news_orig,0
clean,0.2081361454046639,0.04303043325207926,True,20,2,0,20_news_orig,0
swap,0.6124399862825789,0.024964235796932913,True,30,1,15,20_news_orig,0
clean,0.2595421810699588,0.03562560133703218,True,30,2,0,20_news_orig,0
swap,0.6443758573388203,0.017268131941300762,True,40,1,5,20_news_orig,0
clean,0.24084362139917692,0.05212343359111375,True,40,2,0,20_news_orig,0
swap,0.6739883401920439,0.022500406124829394,True,50,1,10,20_news_orig,0
clean,0.21734396433470504,0.03699870387889583,True,50,2,0,20_news_orig,0
swap,0.7080761316872428,0.011010313508797722,True,100,1,1,20_news_orig,0
clean,0.34420438957475996,0.04923155436290131,True,100,2,0,20_news_orig,0
swap,0.7054054054054054,0.08502177859965906,True,5,1,15,atis_orig,0
clean,0.24338549075391178,0.17483654209039184,True,5,2,0,atis_orig,0
swap,0.807823613086771,0.059067668619239865,True,10,1,15,atis_orig,0
clean,0.3036984352773826,0.15146688335887168,True,10,2,0,atis_orig,0
swap,0.8483641536273115,0.022814656030544302,True,20,1,15,atis_orig,0
clean,0.6438122332859175,0.1798181834383809,True,20,2,0,atis_orig,0
swap,0.9172119487908962,0.03681875609124836,True,25,1,15,atis_orig,0
clean,0.7644381223328591,0.17600817412141745,True,25,2,0,atis_orig,0
swap,0.6937196328954471,0.018629807843162087,True,5,1,10,fb_orig,0
clean,0.0709915421990282,0.03551159045666563,True,5,2,0,fb_orig,0
swap,0.8655569551916502,0.015323615672028931,True,10,1,5,fb_orig,0
clean,0.14261292064063338,0.08361406475730143,True,10,2,0,fb_orig,0
swap,0.906802231419831,0.004917334712165819,True,20,1,5,fb_orig,0
clean,0.18290444484434043,0.07462979729330432,True,20,2,0,fb_orig,0
swap,0.9230520064783156,0.0036127148004548118,True,30,1,15,fb_orig,0
clean,0.2411552996220982,0.08393020323291901,True,30,2,0,fb_orig,0
swap,0.9315997840561454,0.00236479336373907,True,40,1,15,fb_orig,0
clean,0.22722692100053982,0.07316433988909812,True,40,2,0,fb_orig,0
swap,0.938725931257873,0.0014691281491370203,True,50,1,15,fb_orig,0
clean,0.20962749685081877,0.06832311596662394,True,50,2,0,fb_orig,0
swap,0.2677375565610859,0.024997737454178822,True,5,1,15,sst_orig,0
clean,0.21049773755656104,0.03397271085775329,True,5,2,0,sst_orig,0
swap,0.3053393665158371,0.018736310290834425,True,10,1,10,sst_orig,0
clean,0.22941176470588234,0.0217975594224033,True,10,2,0,sst_orig,0
swap,0.3286877828054299,0.009582082335146208,True,20,1,10,sst_orig,0
clean,0.22457013574660634,0.026529925372597418,True,20,2,0,sst_orig,0
swap,0.3527601809954751,0.0099777603274843,True,30,1,10,sst_orig,0
clean,0.2259276018099547,0.015191831779960367,True,30,2,0,sst_orig,0
swap,0.3713122171945701,0.013630653749831492,True,40,1,15,sst_orig,0
clean,0.21683257918552035,0.03216478527338256,True,40,2,0,sst_orig,0
swap,0.38144796380090495,0.011007665067568043,True,50,1,15,sst_orig,0
clean,0.23149321266968323,0.012327638880621042,True,50,2,0,sst_orig,0
swap,0.3918552036199095,0.012352195293477641,True,100,1,10,sst_orig,0
clean,0.24262443438914025,0.023294862993345752,True,100,2,0,sst_orig,0
swap,0.22051097517092474,0.01809341740738238,True,5,1,5,yelp_orig,0
clean,0.18806765023389704,0.024503876583579855,True,5,2,0,yelp_orig,0
swap,0.3129974811083123,0.02396978695613857,True,10,1,10,yelp_orig,0
clean,0.24872256207268797,0.0363081920858781,True,10,2,0,yelp_orig,0
swap,0.3561424973011875,0.015004567463744733,True,20,1,15,yelp_orig,0
clean,0.21548038862900318,0.036994488158439844,True,20,2,0,yelp_orig,0
swap,0.3855703490464195,0.014117731103891334,True,30,1,10,yelp_orig,0
clean,0.2458942065491184,0.02275786315266836,True,30,2,0,yelp_orig,0
swap,0.40491543720762857,0.03398978469136131,True,40,1,15,yelp_orig,0
clean,0.22005757466714643,0.04187221388921395,True,40,2,0,yelp_orig,0
swap,0.41614249730118746,0.02638630510706187,True,50,1,15,yelp_orig,0
clean,0.24874415257286792,0.017835491282147446,True,50,2,0,yelp_orig,0
swap,0.4833249370277078,0.009732386124862427,True,100,1,10,yelp_orig,0
clean,0.2816192875134941,0.015315546294687695,True,100,2,0,yelp_orig,0
swap,0.7297499999999999,0.02303394234602492,True,5,1,15,ag_news_orig,1
clean,0.28525,0.03163166925724913,True,5,2,0,ag_news_orig,1
swap,0.7875,0.020736441353327712,True,10,1,15,ag_news_orig,1
clean,0.29925000000000007,0.030332532040698485,True,10,2,0,ag_news_orig,1
swap,0.8255000000000001,0.02120731006044849,True,20,1,10,ag_news_orig,1
clean,0.32375000000000004,0.029138677046152927,True,20,2,0,ag_news_orig,1
swap,0.82075,0.012351619327035613,True,30,1,15,ag_news_orig,1
clean,0.37825000000000003,0.03435203778526101,True,30,2,0,ag_news_orig,1
swap,0.8247500000000001,0.00924999999999998,True,40,1,10,ag_news_orig,1
clean,0.37324999999999997,0.04703788366837947,True,40,2,0,ag_news_orig,1
swap,0.8329999999999999,0.01243985530462472,True,50,1,10,ag_news_orig,1
clean,0.39299999999999996,0.04190465367951393,True,50,2,0,ag_news_orig,1
swap,0.8515,0.013332291625973419,True,100,1,10,ag_news_orig,1
clean,0.5384999999999999,0.038861935103646085,True,100,2,0,ag_news_orig,1
swap,0.43800582990397796,0.026826526241037103,True,5,1,15,20_news_orig,1
clean,0.1795696159122085,0.041262360049576355,True,5,2,0,20_news_orig,1
swap,0.4975737311385459,0.021892715446375503,True,10,1,10,20_news_orig,1
clean,0.2015517832647462,0.07217140569647054,True,10,2,0,20_news_orig,1
swap,0.5736368312757202,0.023308311744643533,True,20,1,15,20_news_orig,1
clean,0.19987139917695468,0.030480994701207718,True,20,2,0,20_news_orig,1
swap,0.5844650205761317,0.02282440764219854,True,30,1,15,20_news_orig,1
clean,0.20960219478737993,0.027930930360282043,True,30,2,0,20_news_orig,1
swap,0.6294753086419753,0.016152308880728317,True,40,1,15,20_news_orig,1
clean,0.22072187928669407,0.0484878314094276,True,40,2,0,20_news_orig,1
swap,0.6580246913580248,0.014858243245255472,True,50,1,10,20_news_orig,1
clean,0.24530178326474622,0.04082216429625258,True,50,2,0,20_news_orig,1
swap,0.7189729080932785,0.009049003104657333,True,100,1,1,20_news_orig,1
clean,0.3467935528120713,0.050772948403146785,True,100,2,0,20_news_orig,1
swap,0.6618776671408251,0.06361517973435978,True,5,1,15,atis_orig,1
clean,0.2607396870554765,0.2099469653235669,True,5,2,0,atis_orig,1
swap,0.7586059743954481,0.07945271604033566,True,10,1,15,atis_orig,1
clean,0.38264580369843526,0.11023952642957362,True,10,2,0,atis_orig,1
swap,0.8295874822190612,0.04899513093884833,True,20,1,10,atis_orig,1
clean,0.49971550497866285,0.24274865908767454,True,20,2,0,atis_orig,1
swap,0.8904694167852062,0.023828050306661033,True,25,1,10,atis_orig,1
clean,0.6031294452347084,0.2679106397973706,True,25,2,0,atis_orig,1
swap,0.8102933237358286,0.01000863464161212,True,5,1,10,fb_orig,1
clean,0.12560734209105628,0.04376327448843368,True,5,2,0,fb_orig,1
swap,0.8541119308979666,0.007942870599136441,True,10,1,15,fb_orig,1
clean,0.17360086377541833,0.11217371752368492,True,10,2,0,fb_orig,1
swap,0.8800431887709197,0.004903320532818013,True,20,1,15,fb_orig,1
clean,0.24065143062803668,0.1134179028710176,True,20,2,0,fb_orig,1
swap,0.9287025373402914,0.0030947767250970857,True,30,1,10,fb_orig,1
clean,0.2818427208925679,0.08270066211288371,True,30,2,0,fb_orig,1
swap,0.9308259852438366,0.0017264257628521178,True,40,1,15,fb_orig,1
clean,0.2256433327334893,0.08218439557772053,True,40,2,0,fb_orig,1
swap,0.938204066942595,0.002721044905011438,True,50,1,10,fb_orig,1
clean,0.19472737088357023,0.06057346211768917,True,50,2,0,fb_orig,1
swap,0.25963800904977374,0.033573197026312465,True,5,1,15,sst_orig,1
clean,0.19864253393665152,0.04074358502545448,True,5,2,0,sst_orig,1
swap,0.2942533936651583,0.025740243669033006,True,10,1,10,sst_orig,1
clean,0.18153846153846148,0.026970603323307127,True,10,2,0,sst_orig,1
swap,0.32927601809954743,0.018787873033774417,True,20,1,10,sst_orig,1
clean,0.20687782805429858,0.03232163152911428,True,20,2,0,sst_orig,1
swap,0.3534841628959276,0.01857718194317583,True,30,1,15,sst_orig,1
clean,0.22773755656108596,0.034354620683784795,True,30,2,0,sst_orig,1
swap,0.3564705882352941,0.009184071392302859,True,40,1,15,sst_orig,1
clean,0.2163800904977375,0.03338790125488227,True,40,2,0,sst_orig,1
swap,0.3672850678733032,0.014117429514509063,True,50,1,15,sst_orig,1
clean,0.22357466063348413,0.035126326994135516,True,50,2,0,sst_orig,1
swap,0.39239819004524884,0.00974858498424994,True,100,1,15,sst_orig,1
clean,0.2653393665158371,0.015371567530603524,True,100,2,0,sst_orig,1
swap,0.383893486865779,0.011375314041879737,True,5,1,10,yelp_orig,1
clean,0.20785174523209787,0.03980363478393485,True,5,2,0,yelp_orig,1
swap,0.431536523929471,0.014127140143852978,True,10,1,1,yelp_orig,1
