method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
swap,0.6815,0.052680641605811894,True,5,2,15,ag_news_orig,0
cont,0.74725,0.023860270325375625,True,5,1,15,ag_news_orig,0
swap,0.784,0.014585952145814816,False,10,2,15,ag_news_orig,0
cont,0.794,0.022394195676558707,False,10,1,15,ag_news_orig,0
swap,0.8185,0.017684739183827382,True,20,2,15,ag_news_orig,0
cont,0.8379999999999999,0.01077032961426901,True,20,1,15,ag_news_orig,0
swap,0.8275,0.01462019151721343,False,30,2,15,ag_news_orig,0
cont,0.8344999999999999,0.012980754985747151,False,30,1,15,ag_news_orig,0
swap,0.8344999999999999,0.010535653752852755,False,40,2,10,ag_news_orig,0
cont,0.8387499999999999,0.013612953390061982,False,40,1,15,ag_news_orig,0
swap,0.8470000000000001,0.0155643824162734,False,50,1,15,ag_news_orig,0
cont,0.83725,0.015018738295875592,False,50,2,15,ag_news_orig,0
swap,0.8554999999999999,0.014089002803605385,False,100,1,15,ag_news_orig,0
cont,0.8535,0.012359207094308293,False,100,2,10,ag_news_orig,0
swap,0.47870370370370374,0.03433817398833284,True,5,1,15,20_news_orig,0
cont,0.4072959533607682,0.043874510767768424,True,5,2,15,20_news_orig,0
swap,0.5724537037037037,0.02540077904107775,False,10,1,15,20_news_orig,0
cont,0.550505829903978,0.016424179656340673,False,10,2,15,20_news_orig,0
swap,0.5824331275720165,0.027134069362437136,False,20,1,10,20_news_orig,0
cont,0.5632373113854596,0.03350809164264285,False,20,2,15,20_news_orig,0
swap,0.6392746913580247,0.022545052471939303,False,30,1,15,20_news_orig,0
cont,0.6266632373113854,0.020187778883601046,False,30,2,15,20_news_orig,0
swap,0.6649691358024692,0.02448631715001027,False,40,1,1,20_news_orig,0
cont,0.6594821673525378,0.01960165301855331,False,40,2,15,20_news_orig,0
swap,0.6962791495198902,0.014729879364061657,False,50,1,10,20_news_orig,0
cont,0.6925325788751715,0.006161642269689776,False,50,2,15,20_news_orig,0
swap,0.7188185871056241,0.008138493939186729,True,100,2,15,20_news_orig,0
cont,0.7284465020576131,0.005772660341499513,True,100,1,10,20_news_orig,0
swap,0.7230440967283072,0.07435355078173085,False,5,2,15,atis_orig,0
cont,0.7620199146514935,0.057158193448045784,False,5,1,15,atis_orig,0
swap,0.8544807965860597,0.03157798622196532,True,10,1,10,atis_orig,0
cont,0.8193456614509247,0.04347750427408258,True,10,2,15,atis_orig,0
swap,0.8738264580369843,0.0247203910558604,True,20,1,10,atis_orig,0
cont,0.8278805120910384,0.051700659588581076,True,20,2,5,atis_orig,0
swap,0.9469416785206259,0.018764274540325376,True,25,1,15,atis_orig,0
cont,0.884068278805121,0.03682122905737208,True,25,2,5,atis_orig,0
swap,0.3304300881770739,0.0588273518718026,True,5,2,15,fb_orig,0
cont,0.7417851358646752,0.027739827054603722,True,5,1,5,fb_orig,0
swap,0.6034551016735648,0.05900650185917203,True,10,2,15,fb_orig,0
cont,0.8702177433867195,0.011221579883550459,True,10,1,10,fb_orig,0
swap,0.6963109591506209,0.08987999852330462,True,20,2,15,fb_orig,0
cont,0.9062263811409034,0.0074150550302592875,True,20,1,5,fb_orig,0
swap,0.8168256253374123,0.04387408778964048,True,30,2,15,fb_orig,0
cont,0.911499010257333,0.004465451121679027,True,30,1,5,fb_orig,0
swap,0.7636314558214864,0.10239411302885036,True,40,2,15,fb_orig,0
cont,0.9184452042468958,0.0019461588388836103,True,40,1,15,fb_orig,0
swap,0.8572971027532841,0.03851427576909383,True,50,2,15,fb_orig,0
cont,0.9269569911822927,0.0015468650835228925,True,50,1,10,fb_orig,0
swap,0.25054298642533934,0.02800173882464407,False,5,2,10,sst_orig,0
cont,0.26791855203619913,0.020305048585386672,False,5,1,15,sst_orig,0
swap,0.2677375565610859,0.045038447388953705,False,10,2,10,sst_orig,0
cont,0.304841628959276,0.009339370900416385,False,10,1,15,sst_orig,0
swap,0.3298190045248869,0.02399338067232073,True,20,1,15,sst_orig,0
cont,0.3168778280542986,0.009157838948647938,True,20,2,10,sst_orig,0
swap,0.3506787330316742,0.0143689205954033,True,30,1,15,sst_orig,0
cont,0.336289592760181,0.01516316531193883,True,30,2,10,sst_orig,0
swap,0.3554298642533936,0.013522145781158179,False,40,2,15,sst_orig,0
cont,0.359683257918552,0.018762136657478293,False,40,1,10,sst_orig,0
swap,0.37936651583710407,0.011640837639974979,False,50,1,10,sst_orig,0
cont,0.3768325791855203,0.012467356692727936,False,50,2,10,sst_orig,0
swap,0.3852941176470588,0.009411873476572996,True,100,1,15,sst_orig,0
cont,0.3555203619909502,0.008190045248868781,True,100,2,10,sst_orig,0
swap,0.31756747031306215,0.010710435683521593,True,5,1,5,yelp_orig,0
cont,0.22975890608132418,0.030638809774466015,True,5,2,2,yelp_orig,0
swap,0.3805469593378913,0.014076757758136903,True,10,1,5,yelp_orig,0
cont,0.33989204749910035,0.016290483473269994,True,10,2,15,yelp_orig,0
swap,0.4382151853184598,0.011736576833330157,True,20,1,10,yelp_orig,0
cont,0.3341777617848147,0.019084428126056815,True,20,2,15,yelp_orig,0
swap,0.4587333573227779,0.011257395744194331,True,30,1,5,yelp_orig,0
cont,0.37353004677941704,0.014518594236425531,True,30,2,15,yelp_orig,0
swap,0.4965383231378194,0.005562570291145802,True,40,1,5,yelp_orig,0
cont,0.41184598776538317,0.008706752715332805,True,40,2,15,yelp_orig,0
swap,0.5108240374235337,0.008497412458192707,True,50,1,5,yelp_orig,0
cont,0.43719323497661033,0.013439276573419439,True,50,2,15,yelp_orig,0
swap,0.544620367038503,0.003767492446260393,True,100,1,2,yelp_orig,0
cont,0.4931486146095717,0.007801981495105651,True,100,2,10,yelp_orig,0
swap,0.67825,0.02788480769164457,True,5,2,15,ag_news_orig,1
cont,0.7532500000000001,0.021507266214003104,True,5,1,15,ag_news_orig,1
swap,0.78025,0.01682446135839125,False,10,2,15,ag_news_orig,1
cont,0.7827500000000001,0.014028987846598218,False,10,1,10,ag_news_orig,1
swap,0.82575,0.015290928683373025,False,20,2,15,ag_news_orig,1
cont,0.82825,0.014100088652203552,False,20,1,15,ag_news_orig,1
swap,0.8115,0.010012492197250382,True,30,2,15,ag_news_orig,1
cont,0.8230000000000001,0.011056672193748009,True,30,1,15,ag_news_orig,1
swap,0.8244999999999999,0.013266499161421601,False,40,2,15,ag_news_orig,1
cont,0.82875,0.013050383136138209,False,40,1,15,ag_news_orig,1
swap,0.8164999999999999,0.011575836902790198,True,50,2,15,ag_news_orig,1
cont,0.836,0.009096702699330142,True,50,1,10,ag_news_orig,1
swap,0.8467500000000001,0.012651580928879993,False,100,2,15,ag_news_orig,1
cont,0.85075,0.010310795313650648,False,100,1,15,ag_news_orig,1
swap,0.4310013717421125,0.04652561897792982,False,5,1,15,20_news_orig,1
cont,0.4198045267489712,0.022108213297912585,False,5,2,15,20_news_orig,1
swap,0.5373371056241426,0.028138618929254414,True,10,1,15,20_news_orig,1
cont,0.5081447187928669,0.02516148491225744,True,10,2,15,20_news_orig,1
swap,0.60389231824417,0.01288160065272442,True,20,1,10,20_news_orig,1
cont,0.5767061042524004,0.035517552399125206,True,20,2,15,20_news_orig,1
swap,0.6152692043895748,0.02443654026587207,False,30,1,15,20_news_orig,1
cont,0.6067558299039781,0.022583964461179374,False,30,2,15,20_news_orig,1
swap,0.6529492455418381,0.018760054472667986,False,40,1,15,20_news_orig,1
cont,0.6461505486968451,0.012841725009386082,False,40,2,15,20_news_orig,1
swap,0.6772890946502057,0.01538948018797641,False,50,2,1,20_news_orig,1
cont,0.6802211934156379,0.009222068944376228,False,50,1,15,20_news_orig,1
swap,0.7176954732510288,0.007791960080028117,False,100,2,5,20_news_orig,1
cont,0.7234739368998627,0.01264684901390261,False,100,1,15,20_news_orig,1
swap,0.7062588904694168,0.025288471036814253,False,5,1,15,atis_orig,1
cont,0.6938833570412517,0.051703790495117495,False,5,2,15,atis_orig,1
swap,0.7834992887624467,0.06169279621475869,True,10,2,15,atis_orig,1
cont,0.8593172119487908,0.022549259167180348,True,10,1,15,atis_orig,1
swap,0.9126600284495021,0.016444205993306902,True,20,1,15,atis_orig,1
cont,0.8770981507823613,0.021033400158491634,True,20,2,15,atis_orig,1
swap,0.9187766714082504,0.024177474250308768,False,25,1,10,atis_orig,1
