method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
para,0.83775,0.010514870422406557,True,5,1,10,ag_news_orig,0
cont,0.8215,0.008231038816577156,True,5,2,2,ag_news_orig,0
para,0.8532500000000001,0.006712860791048767,False,10,1,1,ag_news_orig,0
cont,0.842,0.01166190378969062,False,10,2,1,ag_news_orig,0
para,0.8627499999999999,0.006750000000000001,False,20,1,15,ag_news_orig,0
cont,0.86075,0.0051295711321708215,False,20,2,5,ag_news_orig,0
para,0.8472500000000001,0.005857687256929997,True,30,2,10,ag_news_orig,0
cont,0.85775,0.006932712311931034,True,30,1,15,ag_news_orig,0
para,0.8625,0.006123724356957946,False,40,1,10,ag_news_orig,0
cont,0.8604999999999998,0.005099019513592805,False,40,2,1,ag_news_orig,0
para,0.86875,0.0047762432936356795,False,50,2,2,ag_news_orig,0
cont,0.8720000000000001,0.006595452979136441,False,50,1,1,ag_news_orig,0
para,0.8692500000000001,0.005006246098625191,False,100,2,10,ag_news_orig,0
cont,0.86975,0.004394598957811725,False,100,1,15,ag_news_orig,0
para,0.5742198216735254,0.016126907836831565,True,5,1,1,20_news_orig,0
cont,0.5558127572016461,0.0106022000230356,True,5,2,1,20_news_orig,0
para,0.629783950617284,0.01234066494353776,True,10,1,1,20_news_orig,0
cont,0.604329561042524,0.011172572275361312,True,10,2,10,20_news_orig,0
para,0.6752057613168724,0.014781336805434305,False,20,1,1,20_news_orig,0
cont,0.6616083676268861,0.01208835575730017,False,20,2,1,20_news_orig,0
para,0.7204989711934157,0.007702839820761097,True,30,1,2,20_news_orig,0
cont,0.7075188614540466,0.00851939876396566,True,30,2,1,20_news_orig,0
para,0.7280006858710563,0.012812968108656177,True,40,1,2,20_news_orig,0
cont,0.7090792181069959,0.007891714194674616,True,40,2,1,20_news_orig,0
para,0.7400377229080932,0.0029706016900172163,True,50,1,5,20_news_orig,0
cont,0.7280264060356653,0.0062036091540088115,True,50,2,1,20_news_orig,0
para,0.7441272290809329,0.009133153635501776,False,100,1,1,20_news_orig,0
cont,0.7383316186556927,0.006986911633224739,False,100,2,2,20_news_orig,0
para,0.939118065433855,0.008434689661663535,True,5,1,10,atis_orig,0
cont,0.8385490753911806,0.04606821300912166,True,5,2,2,atis_orig,0
para,0.915647226173542,0.013480531736214633,False,10,2,5,atis_orig,0
cont,0.922190611664296,0.02285763028308749,False,10,1,1,atis_orig,0
para,0.9567567567567566,0.005516563137884899,True,20,1,5,atis_orig,0
cont,0.9254623044096728,0.020907964752970833,True,20,2,1,atis_orig,0
para,0.9761024182076815,0.00773387039491789,False,25,1,2,atis_orig,0
cont,0.9675675675675676,0.013536702422043068,False,25,2,1,atis_orig,0
para,0.8120388698938277,0.0141821513539564,True,5,1,10,fb_orig,0
cont,0.7377181932697499,0.013061244140451763,True,5,2,10,fb_orig,0
para,0.8899766060824186,0.011382719919188176,True,10,1,5,fb_orig,0
cont,0.8311858916681661,0.007631565164090449,True,10,2,10,fb_orig,0
para,0.9125427388878892,0.005165628970454322,True,20,1,10,fb_orig,0
cont,0.8597804570811588,0.004494365248692174,True,20,2,2,fb_orig,0
para,0.9293503689040848,0.004119474531564223,True,30,1,5,fb_orig,0
cont,0.8855317617419471,0.010599366405116545,True,30,2,1,fb_orig,0
para,0.9294043548677344,0.008461265318774662,True,40,1,10,fb_orig,0
cont,0.8910023393917582,0.0026788862929121578,True,40,2,1,fb_orig,0
para,0.9362965628936475,0.003263063367037787,True,50,1,10,fb_orig,0
cont,0.9008637754183912,0.004674247881161488,True,50,2,2,fb_orig,0
para,0.3040723981900452,0.016220315229805347,True,5,1,2,sst_orig,0
cont,0.2852036199095022,0.009058932017558412,True,5,2,15,sst_orig,0
para,0.33149321266968323,0.015017171773894326,True,10,1,1,sst_orig,0
cont,0.3073755656108597,0.013763468250814901,True,10,2,2,sst_orig,0
para,0.34203619909502264,0.011963941237257223,True,20,1,2,sst_orig,0
cont,0.3305429864253394,0.009108969293754484,True,20,2,2,sst_orig,0
para,0.35683257918552036,0.012899023205499974,False,30,1,2,sst_orig,0
cont,0.3514027149321267,0.008200413426709203,False,30,2,2,sst_orig,0
para,0.37321266968325795,0.008627714664409111,False,40,1,2,sst_orig,0
cont,0.3640723981900452,0.012281046482307606,False,40,2,1,sst_orig,0
para,0.38647058823529407,0.012202857349123504,True,50,1,1,sst_orig,0
cont,0.36746606334841625,0.01376555073997075,True,50,2,1,sst_orig,0
para,0.3972850678733032,0.011928892603134894,True,100,1,1,sst_orig,0
cont,0.3721266968325791,0.015976375343362985,True,100,2,1,sst_orig,0
para,0.28015833033465276,0.01528309209763222,True,5,1,5,yelp_orig,0
cont,0.24546239654551996,0.019120810743891353,True,5,2,1,yelp_orig,0
para,0.36600935588341127,0.01760813944825328,True,10,1,15,yelp_orig,0
cont,0.35142857142857137,0.015041431722112463,True,10,2,5,yelp_orig,0
para,0.3835840230298668,0.011810854381713509,True,20,1,5,yelp_orig,0
cont,0.33499820079165166,0.0246896240877156,True,20,2,10,yelp_orig,0
para,0.3881612090680101,0.025092278508681298,False,30,1,5,yelp_orig,0
cont,0.38631881971932347,0.013577144261120104,False,30,2,5,yelp_orig,0
para,0.42631162288593016,0.006390950142043248,True,40,1,5,yelp_orig,0
cont,0.3829866858582224,0.02553176837011419,True,40,2,2,yelp_orig,0
para,0.4406045340050377,0.012268471247872427,True,50,1,2,yelp_orig,0
cont,0.41030586541921554,0.023470037827883705,True,50,2,1,yelp_orig,0
para,0.47091759625764656,0.016951199607768103,True,100,1,1,yelp_orig,0
cont,0.44464915437207625,0.01824260846752092,True,100,2,1,yelp_orig,0
para,0.79925,0.007250000000000009,False,5,2,5,ag_news_orig,1
cont,0.80375,0.012661457262100599,False,5,1,2,ag_news_orig,1
para,0.8422500000000002,0.006269968101992233,True,10,2,2,ag_news_orig,1
cont,0.8510000000000002,0.007348469228349541,True,10,1,5,ag_news_orig,1
para,0.8515,0.010136567466356656,True,20,2,5,ag_news_orig,1
cont,0.8617500000000001,0.007668930825088984,True,20,1,2,ag_news_orig,1
para,0.84325,0.008295330011518522,False,30,2,1,ag_news_orig,1
cont,0.849,0.005024937810560462,False,30,1,2,ag_news_orig,1
para,0.85725,0.006562202374203342,False,40,1,10,ag_news_orig,1
cont,0.851,0.005612486080160924,False,40,2,2,ag_news_orig,1
para,0.8540000000000001,0.006538348415311004,False,50,2,10,ag_news_orig,1
cont,0.8592500000000001,0.005006246098625191,False,50,1,15,ag_news_orig,1
para,0.86775,0.005055937104039158,False,100,2,5,ag_news_orig,1
cont,0.8710000000000001,0.007176350047203644,False,100,1,15,ag_news_orig,1
para,0.5419667352537723,0.016970036055387928,False,5,1,15,20_news_orig,1
cont,0.541838134430727,0.01315024727553501,False,5,2,15,20_news_orig,1
para,0.62744341563786,0.019623182128738387,False,10,1,2,20_news_orig,1
cont,0.6146347736625515,0.011367772866617816,False,10,2,15,20_news_orig,1
para,0.6712534293552812,0.01398399512771696,True,20,1,2,20_news_orig,1
cont,0.6527177640603566,0.027165171171103182,True,20,2,10,20_news_orig,1
para,0.6925325788751715,0.008668797817067213,True,30,1,2,20_news_orig,1
cont,0.6763888888888889,0.01176793645708156,True,30,2,2,20_news_orig,1
para,0.7125771604938272,0.006087860277029124,True,40,1,5,20_news_orig,1
cont,0.695687585733882,0.007902157530029133,True,40,2,2,20_news_orig,1
para,0.7193329903978053,0.004736057906204488,True,50,1,5,20_news_orig,1
cont,0.7044410150891631,0.007684951048928705,True,50,2,1,20_news_orig,1
para,0.7434670781893005,0.006468994947221097,False,100,1,2,20_news_orig,1
cont,0.7404320987654321,0.0062973506040251035,False,100,2,1,20_news_orig,1
para,0.8874822190611663,0.02076472623454271,False,5,1,15,atis_orig,1
cont,0.8527738264580371,0.05724026396371207,False,5,2,1,atis_orig,1
para,0.9630156472261735,0.009689551275064791,True,10,1,10,atis_orig,1
cont,0.9044096728307254,0.03251094786015514,True,10,2,1,atis_orig,1
para,0.9547652916073968,0.009366758254995331,True,20,1,5,atis_orig,1
cont,0.9403982930298721,0.011118078537507368,True,20,2,1,atis_orig,1
para,0.9728307254623043,0.004650862794956438,True,25,1,2,atis_orig,1
cont,0.9597439544807964,0.005286174730031904,True,25,2,1,atis_orig,1
para,0.837574230700018,0.014055993232511634,True,5,1,15,fb_orig,1
cont,0.7565233039409753,0.01464447697718733,True,5,2,15,fb_orig,1
para,0.8831203886989384,0.006942206834968617,True,10,1,15,fb_orig,1
cont,0.8061004138923881,0.010376374355539016,True,10,2,15,fb_orig,1
para,0.8956271369443943,0.009099299963612303,True,20,1,15,fb_orig,1
cont,0.838204066942595,0.01283646765711745,True,20,2,2,fb_orig,1
para,0.9235918661148101,0.008571215132915016,True,30,1,15,fb_orig,1
cont,0.8892028072701097,0.01012740162379066,True,30,2,1,fb_orig,1
para,0.9303401115709915,0.004937051713612202,True,40,1,1,fb_orig,1
cont,0.8979305380601043,0.006366275672472893,True,40,2,2,fb_orig,1
para,0.9368364225301422,0.004529676508202898,True,50,1,1,fb_orig,1
cont,0.9129566312758681,0.008101512798120247,True,50,2,1,fb_orig,1
para,0.3004072398190045,0.01861643166719907,True,5,1,10,sst_orig,1
cont,0.2828959276018099,0.014211026597678703,True,5,2,10,sst_orig,1
para,0.32665158371040726,0.010263516746606022,True,10,1,15,sst_orig,1
cont,0.3057013574660633,0.015206851628086859,True,10,2,15,sst_orig,1
para,0.361131221719457,0.01654457303004781,True,20,1,10,sst_orig,1
cont,0.3346606334841629,0.01823725891304648,True,20,2,1,sst_orig,1
para,0.3657013574660633,0.014257056198261573,True,30,1,1,sst_orig,1
cont,0.34398190045248866,0.017689703665512122,True,30,2,1,sst_orig,1
para,0.36850678733031667,0.0134841628959276,False,40,1,5,sst_orig,1
cont,0.35515837104072395,0.019527862170604243,False,40,2,1,sst_orig,1
para,0.37384615384615383,0.012966465813132544,True,50,1,1,sst_orig,1
cont,0.34886877828054297,0.011698385991354837,True,50,2,1,sst_orig,1
para,0.40615384615384614,0.013892508099342943,True,100,1,1,sst_orig,1
cont,0.38647058823529407,0.011975914760307193,True,100,2,1,sst_orig,1
para,0.32469233537243614,0.017792871958496912,True,5,1,10,yelp_orig,1
cont,0.2642749190356243,0.03728827176458798,True,5,2,5,yelp_orig,1
para,0.3840158330334652,0.032841768846688275,True,10,1,1,yelp_orig,1
cont,0.3228715365239294,0.032190399587779396,True,10,2,1,yelp_orig,1
para,0.4188844908240374,0.012346049696182282,True,20,1,1,yelp_orig,1
cont,0.3993019071608492,0.019159804759589547,True,20,2,15,yelp_orig,1
para,0.4324865059373876,0.010717590400229413,False,30,1,2,yelp_orig,1
cont,0.4307664627563872,0.018435001655369296,False,30,2,5,yelp_orig,1
para,0.4364087801367398,0.013705365401872569,True,40,1,2,yelp_orig,1
cont,0.4131054336092119,0.02329779488062433,True,40,2,5,yelp_orig,1
para,0.4250233897085282,0.014929710753249342,True,50,1,1,yelp_orig,1
cont,0.39446563512054694,0.023807478394909192,True,50,2,10,yelp_orig,1
para,0.4622022310183519,0.017585710904230004,False,100,1,2,yelp_orig,1
cont,0.4532421734436848,0.018282784332497894,False,100,2,1,yelp_orig,1
para,0.79725,0.009711462299777497,False,5,1,15,ag_news_orig,2
cont,0.7965000000000001,0.011683321445547925,False,5,2,5,ag_news_orig,2
para,0.85,0.0052440442408507836,True,10,1,5,ag_news_orig,2
cont,0.8402499999999999,0.006466258578188788,True,10,2,2,ag_news_orig,2
para,0.8625,0.006982120021884469,True,20,1,15,ag_news_orig,2
cont,0.8487500000000001,0.00539096466321197,True,20,2,1,ag_news_orig,2
para,0.8552500000000001,0.004534589286804275,False,30,1,10,ag_news_orig,2
cont,0.84825,0.008591420138719792,False,30,2,10,ag_news_orig,2
para,0.8457500000000001,0.010065411069598695,False,40,1,10,ag_news_orig,2
cont,0.83775,0.009902651160169189,False,40,2,15,ag_news_orig,2
para,0.8595,0.0052201532544552875,True,50,1,10,ag_news_orig,2
cont,0.8515,0.008888194417315592,True,50,2,15,ag_news_orig,2
para,0.8700000000000001,0.00790569415042093,False,100,1,15,ag_news_orig,2
cont,0.8697500000000001,0.007369701486491835,False,100,2,10,ag_news_orig,2
para,0.5603823731138546,0.012186524738447902,True,5,1,10,20_news_orig,2
cont,0.5201474622770919,0.02441477584340104,True,5,2,10,20_news_orig,2
para,0.6787808641975308,0.01150930986004596,True,10,1,5,20_news_orig,2
cont,0.6580075445816187,0.022700641827438587,True,10,2,1,20_news_orig,2
para,0.7250514403292181,0.008887754959511945,True,20,1,1,20_news_orig,2
cont,0.7017061042524004,0.013746756291487186,True,20,2,2,20_news_orig,2
para,0.732150205761317,0.004897618830025291,True,30,1,15,20_news_orig,2
cont,0.705752743484225,0.008661621588484202,True,30,2,5,20_news_orig,2
para,0.7422239368998629,0.005568882567640774,True,40,1,1,20_news_orig,2
cont,0.7255486968449932,0.0057728640650763765,True,40,2,5,20_news_orig,2
para,0.7357767489711934,0.007312497060382586,False,50,1,15,20_news_orig,2
cont,0.731232853223594,0.008741446960536988,False,50,2,2,20_news_orig,2
para,0.7463220164609055,0.009030952548510943,False,100,1,2,20_news_orig,2
cont,0.739900548696845,0.008473075700718105,False,100,2,2,20_news_orig,2
para,0.9159317211948791,0.03928942166203069,False,5,1,1,atis_orig,2
cont,0.8815078236130868,0.07564585664769136,False,5,2,1,atis_orig,2
para,0.9568990042674252,0.012531513222894437,True,10,1,2,atis_orig,2
cont,0.8706970128022758,0.04555675016191256,True,10,2,5,atis_orig,2
para,0.9768136557610243,0.00809811967424762,True,20,1,2,atis_orig,2
cont,0.8950213371266003,0.02388572489166698,True,20,2,2,atis_orig,2
para,0.9829302987197724,0.004631243412830603,True,25,1,2,atis_orig,2
cont,0.9438122332859175,0.009982694770709958,True,25,2,2,atis_orig,2
para,0.817635414792154,0.014457132404415015,True,5,1,5,fb_orig,2
cont,0.7145582148641354,0.015047962628852817,True,5,2,15,fb_orig,2
para,0.8702537340291524,0.005409382782022813,True,10,1,15,fb_orig,2
cont,0.7665107072161239,0.018397388833298587,True,10,2,15,fb_orig,2
para,0.902825265430988,0.007449280537265592,True,20,1,15,fb_orig,2
cont,0.8526183192369985,0.009394178182827938,True,20,2,10,fb_orig,2
para,0.9242037070361707,0.00350220575343356,True,30,1,2,fb_orig,2
cont,0.8786755443584668,0.008612899878800751,True,30,2,1,fb_orig,2
para,0.93080798992262,0.003518303904267955,True,40,1,5,fb_orig,2
cont,0.8938995861076121,0.007582930283239451,True,40,2,1,fb_orig,2
para,0.9375562353788014,0.0071239656167379145,True,50,1,5,fb_orig,2
cont,0.9079719272989024,0.00440587795703281,True,50,2,1,fb_orig,2
para,0.27705882352941175,0.012775976232055616,True,5,1,15,sst_orig,2
cont,0.24556561085972847,0.024225730492490865,True,5,2,2,sst_orig,2
para,0.3046606334841629,0.00911750670765404,True,10,1,5,sst_orig,2
cont,0.28674208144796376,0.01595951399945981,True,10,2,1,sst_orig,2
para,0.3427601809954751,0.01611552294051294,False,20,1,2,sst_orig,2
cont,0.3318099547511312,0.00632206209349955,False,20,2,5,sst_orig,2
para,0.37276018099547514,0.005733586990572739,True,30,1,5,sst_orig,2
cont,0.3382805429864254,0.017839994164278606,True,30,2,2,sst_orig,2
para,0.37185520361990954,0.01031197794262016,True,40,1,1,sst_orig,2
cont,0.3509954751131222,0.010348150174546676,True,40,2,2,sst_orig,2
para,0.3680995475113122,0.015174570934244933,True,50,1,1,sst_orig,2
cont,0.3515384615384615,0.008996335437796375,True,50,2,1,sst_orig,2
para,0.3935294117647058,0.013387931388572822,True,100,1,5,sst_orig,2
cont,0.37212669683257915,0.011730196515339693,True,100,2,1,sst_orig,2
para,0.29879812882331774,0.018433078405002218,True,5,1,2,yelp_orig,2
cont,0.27383231378193595,0.02858868941286586,True,5,2,2,yelp_orig,2
para,0.38032385750269876,0.01754611596661365,True,10,1,2,yelp_orig,2
cont,0.34952141057934505,0.02011563727110408,True,10,2,10,yelp_orig,2
para,0.4364735516372796,0.010867018245226958,False,20,1,5,yelp_orig,2
cont,0.41651673263763944,0.027372467765844805,False,20,2,5,yelp_orig,2
para,0.45960417416336813,0.01181253603335012,True,30,1,1,yelp_orig,2
cont,0.4156962936308024,0.01465963164375189,True,30,2,1,yelp_orig,2
para,0.46336092119467426,0.022434878867101257,True,40,1,1,yelp_orig,2
cont,0.4205541561712846,0.024889979591568037,True,40,2,1,yelp_orig,2
para,0.4638503058654191,0.013161188284247212,True,50,1,1,yelp_orig,2
cont,0.4293127024109392,0.014942749316828857,True,50,2,1,yelp_orig,2
para,0.45702051097517093,0.02025874852794224,False,100,1,1,yelp_orig,2
cont,0.4379992803166607,0.024419185529613325,False,100,2,5,yelp_orig,2
