method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
swap,0.81225,0.027578297626938468,False,5,2,5,ag_news_orig,0
cont,0.8215,0.008231038816577156,False,5,1,2,ag_news_orig,0
swap,0.8425,0.007245688373094718,False,10,1,1,ag_news_orig,0
cont,0.842,0.01166190378969062,False,10,2,1,ag_news_orig,0
swap,0.8632500000000001,0.007749999999999994,False,20,1,1,ag_news_orig,0
cont,0.86075,0.0051295711321708215,False,20,2,5,ag_news_orig,0
swap,0.8605,0.007141428428542854,False,30,1,1,ag_news_orig,0
cont,0.85775,0.006932712311931034,False,30,2,15,ag_news_orig,0
swap,0.865,0.005700877125495685,False,40,1,2,ag_news_orig,0
cont,0.8604999999999998,0.005099019513592805,False,40,2,1,ag_news_orig,0
swap,0.869,0.0068190908484929225,False,50,2,1,ag_news_orig,0
cont,0.8720000000000001,0.006595452979136441,False,50,1,1,ag_news_orig,0
swap,0.867,0.010111874208078313,False,100,2,2,ag_news_orig,0
cont,0.86975,0.004394598957811725,False,100,1,15,ag_news_orig,0
swap,0.5428583676268861,0.02031008160781825,False,5,2,5,20_news_orig,0
cont,0.5558127572016461,0.0106022000230356,False,5,1,1,20_news_orig,0
swap,0.6275634430727024,0.013315575940169765,True,10,1,2,20_news_orig,0
cont,0.604329561042524,0.011172572275361312,True,10,2,10,20_news_orig,0
swap,0.6736711248285322,0.006630178646109755,True,20,1,2,20_news_orig,0
cont,0.6616083676268861,0.01208835575730017,True,20,2,1,20_news_orig,0
swap,0.7085305212620028,0.0059312791468223046,False,30,1,2,20_news_orig,0
cont,0.7075188614540466,0.00851939876396566,False,30,2,1,20_news_orig,0
swap,0.722076474622771,0.006034112386350647,True,40,1,1,20_news_orig,0
cont,0.7090792181069959,0.007891714194674616,True,40,2,1,20_news_orig,0
swap,0.7316358024691357,0.006018469667105429,False,50,1,1,20_news_orig,0
cont,0.7280264060356653,0.0062036091540088115,False,50,2,1,20_news_orig,0
swap,0.744195816186557,0.0029267919993527167,True,100,1,1,20_news_orig,0
cont,0.7383316186556927,0.006986911633224739,True,100,2,2,20_news_orig,0
swap,0.8972972972972973,0.03366671338261625,True,5,1,2,atis_orig,0
cont,0.8385490753911806,0.04606821300912166,True,5,2,2,atis_orig,0
swap,0.9039829302987197,0.02620792163491176,False,10,2,2,atis_orig,0
cont,0.922190611664296,0.02285763028308749,False,10,1,1,atis_orig,0
swap,0.946230440967283,0.009059279276296189,True,20,1,2,atis_orig,0
cont,0.9254623044096728,0.020907964752970833,True,20,2,1,atis_orig,0
swap,0.9779516358463729,0.005804325963898469,True,25,1,2,atis_orig,0
cont,0.9675675675675676,0.013536702422043068,True,25,2,1,atis_orig,0
swap,0.6351988482994422,0.03353613392130036,True,5,2,2,fb_orig,0
cont,0.7377181932697499,0.013061244140451763,True,5,1,10,fb_orig,0
swap,0.8150980745006299,0.019032593908990217,True,10,2,1,fb_orig,0
cont,0.8311858916681661,0.007631565164090449,True,10,1,10,fb_orig,0
swap,0.8824905524563613,0.02177671808854565,True,20,1,1,fb_orig,0
cont,0.8597804570811588,0.004494365248692174,True,20,2,2,fb_orig,0
swap,0.9177613820406695,0.00408061516635583,True,30,1,5,fb_orig,0
cont,0.8855317617419471,0.010599366405116545,True,30,2,1,fb_orig,0
swap,0.9230700017995321,0.004028099005823742,True,40,1,2,fb_orig,0
cont,0.8910023393917582,0.0026788862929121578,True,40,2,1,fb_orig,0
swap,0.9318877091956091,0.0047367363673889796,True,50,1,2,fb_orig,0
cont,0.9008637754183912,0.004674247881161488,True,50,2,2,fb_orig,0
swap,0.28723981900452483,0.013045179025557645,False,5,1,2,sst_orig,0
cont,0.2852036199095022,0.009058932017558412,False,5,2,15,sst_orig,0
swap,0.3052941176470588,0.011256059703080443,False,10,2,1,sst_orig,0
cont,0.3073755656108597,0.013763468250814901,False,10,1,2,sst_orig,0
swap,0.3366968325791856,0.009856466684619097,False,20,1,10,sst_orig,0
cont,0.3305429864253394,0.009108969293754484,False,20,2,2,sst_orig,0
swap,0.34828054298642536,0.008853181409666191,False,30,2,1,sst_orig,0
cont,0.3514027149321267,0.008200413426709203,False,30,1,2,sst_orig,0
swap,0.35352941176470587,0.010642722471934846,False,40,2,2,sst_orig,0
cont,0.3640723981900452,0.012281046482307606,False,40,1,1,sst_orig,0
swap,0.3795022624434389,0.01365594067467201,False,50,1,1,sst_orig,0
cont,0.36746606334841625,0.01376555073997075,False,50,2,1,sst_orig,0
swap,0.385972850678733,0.012801511960005054,False,100,1,1,sst_orig,0
cont,0.3721266968325791,0.015976375343362985,False,100,2,1,sst_orig,0
swap,0.23971932349766104,0.014685541933560758,False,5,2,1,yelp_orig,0
cont,0.24546239654551996,0.019120810743891353,False,5,1,1,yelp_orig,0
swap,0.31047139258726153,0.014216178091185992,True,10,2,5,yelp_orig,0
cont,0.35142857142857137,0.015041431722112463,True,10,1,5,yelp_orig,0
swap,0.33168046059733713,0.019792261417579192,False,20,2,1,yelp_orig,0
cont,0.33499820079165166,0.0246896240877156,False,20,1,10,yelp_orig,0
swap,0.3674991003958258,0.01012076430137263,True,30,2,1,yelp_orig,0
cont,0.38631881971932347,0.013577144261120104,True,30,1,5,yelp_orig,0
swap,0.372990284274919,0.021533571341914897,False,40,2,1,yelp_orig,0
cont,0.3829866858582224,0.02553176837011419,False,40,1,2,yelp_orig,0
swap,0.38739834472831947,0.019787142094966306,False,50,2,1,yelp_orig,0
cont,0.41030586541921554,0.023470037827883705,False,50,1,1,yelp_orig,0
swap,0.4476430370636919,0.01893612553167592,False,100,1,1,yelp_orig,0
cont,0.44464915437207625,0.01824260846752092,False,100,2,1,yelp_orig,0
swap,0.79475,0.008325412902673357,False,5,2,10,ag_news_orig,1
cont,0.80375,0.012661457262100599,False,5,1,2,ag_news_orig,1
swap,0.8375,0.014404860290887942,True,10,2,2,ag_news_orig,1
