method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
cont_ins,0.8156249999999998,0.015018218103356995,True,5,1,10,ag_news_orig,0
clean,0.8019999999999999,0.015724185193516396,True,5,2,0,ag_news_orig,0
cont_ins,0.826875,0.010273600877978462,False,10,1,5,ag_news_orig,0
clean,0.82025,0.014977065800750158,False,10,2,0,ag_news_orig,0
cont_ins,0.85775,0.009113863066779089,True,20,1,10,ag_news_orig,0
clean,0.8432499999999999,0.006896557112066856,True,20,2,0,ag_news_orig,0
cont_ins,0.851875,0.009416574483324615,False,30,1,10,ag_news_orig,0
clean,0.8477499999999999,0.010455261833163242,False,30,2,0,ag_news_orig,0
cont_ins,0.8623749999999999,0.00853210847329076,True,40,1,10,ag_news_orig,0
clean,0.8545,0.008124038404635985,True,40,2,0,ag_news_orig,0
cont_ins,0.8665,0.009096702699330113,False,50,1,10,ag_news_orig,0
clean,0.8605,0.009797958971132729,False,50,2,0,ag_news_orig,0
cont_ins,0.86575,0.00661910114743686,True,100,1,15,ag_news_orig,0
clean,0.85625,0.007004462863060965,True,100,2,0,ag_news_orig,0
cont_ins,0.6066443758573389,0.02092185865081078,False,5,1,1,20_news_orig,0
clean,0.596510631,0.0169759168188819,False,5,2,0,20_news_orig,0
cont_ins,0.6576303155006858,0.005135624128573205,True,10,1,2,20_news_orig,0
clean,0.6407664609,0.014236753466231985,True,10,2,0,20_news_orig,0
cont_ins,0.7032407407407406,0.010523651549380703,True,20,1,10,20_news_orig,0
clean,0.686042524,0.014035398665936179,True,20,2,0,20_news_orig,0
cont_ins,0.7238768861454047,0.01703823887391684,False,30,1,5,20_news_orig,0
clean,0.7171982165999999,0.022040251810426254,False,30,2,0,20_news_orig,0
cont_ins,0.7391889574759946,0.009214733318002967,False,40,1,2,20_news_orig,0
clean,0.7334705075445817,0.008742569431291388,False,40,2,0,20_news_orig,0
cont_ins,0.7534979423868313,0.007904533740510842,False,50,1,2,20_news_orig,0
clean,0.7428583676268861,0.018683694795009812,False,50,2,0,20_news_orig,0
cont_ins,0.7591220850480109,0.007068674086795797,False,100,1,1,20_news_orig,0
clean,0.7517575445816187,0.0172640557959409,False,100,2,0,20_news_orig,0
cont_ins,0.8250355618776671,0.017548984936888907,True,5,1,15,atis_orig,0
clean,0.6475106685633001,0.05432588682687914,True,5,2,0,atis_orig,0
cont_ins,0.8876244665718349,0.005049285732375211,True,10,1,15,atis_orig,0
clean,0.829018492176387,0.04524186493394327,True,10,2,0,atis_orig,0
cont_ins,0.9345661450924609,0.006424802156834284,True,20,1,15,atis_orig,0
clean,0.8534850640113797,0.027310040263264283,True,20,2,0,atis_orig,0
cont_ins,0.968705547652916,0.01439443600645631,True,25,1,10,atis_orig,0
clean,0.9364153627311522,0.01712945917358852,True,25,2,0,atis_orig,0
