method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
ins,0.8347499999999999,0.008905756565278455,True,5,1,10,ag_news_orig,0
cont,0.819125,0.01567791041561342,True,5,2,1,ag_news_orig,0
ins,0.834,0.012757350822173068,False,10,2,1,ag_news_orig,0
cont,0.8362499999999999,0.010262187875886897,False,10,1,15,ag_news_orig,0
ins,0.8615,0.0035707142142714326,True,20,1,1,ag_news_orig,0
cont,0.854875,0.00823388577768724,True,20,2,5,ag_news_orig,0
ins,0.8532499999999998,0.010784827305061506,False,30,1,15,ag_news_orig,0
cont,0.850375,0.007170904754631739,False,30,2,10,ag_news_orig,0
ins,0.85875,0.009890020222426247,False,40,1,1,ag_news_orig,0
cont,0.8577499999999999,0.010182705927208172,False,40,2,15,ag_news_orig,0
ins,0.8630000000000001,0.012389511693363867,False,50,1,1,ag_news_orig,0
cont,0.8626250000000001,0.011332337578805179,False,50,2,15,ag_news_orig,0
ins,0.8637500000000001,0.01020110288155159,False,100,2,1,ag_news_orig,0
cont,0.8667499999999999,0.008444672877027267,False,100,1,5,ag_news_orig,0
ins,0.5972993827160493,0.020918099173108603,False,5,2,2,20_news_orig,0
cont,0.6040123456790123,0.02106332654487411,False,5,1,15,20_news_orig,0
ins,0.650077160493827,0.01031448439858653,True,10,1,2,20_news_orig,0
cont,0.6320216049382716,0.012900510868862106,True,10,2,10,20_news_orig,0
ins,0.6972479423868313,0.012029966800456222,False,20,1,5,20_news_orig,0
cont,0.6849022633744857,0.010851284986639662,False,20,2,1,20_news_orig,0
ins,0.72835219478738,0.008571523288252128,True,30,1,1,20_news_orig,0
cont,0.7193244170096021,0.009975372046176649,True,30,2,2,20_news_orig,0
ins,0.7446502057613168,0.010857931304874576,False,40,1,1,20_news_orig,0
cont,0.7336934156378601,0.009405971999201177,False,40,2,1,20_news_orig,0
ins,0.7490312071330589,0.005927808249747319,True,50,2,1,20_news_orig,0
cont,0.7556155692729767,0.007492694949870436,True,50,1,1,20_news_orig,0
ins,0.7523319615912208,0.0076511713864074165,False,100,1,1,20_news_orig,0
cont,0.7505915637860082,0.010972359417012576,False,100,2,1,20_news_orig,0
ins,0.7981507825,0.03168928479314833,False,5,1,15,atis_orig,0
cont,0.7197724039829303,0.09618919296515045,False,5,2,2,atis_orig,0
ins,0.884637269,0.009986747847149187,False,10,1,15,atis_orig,0
cont,0.8819345661450925,0.03360174057188542,False,10,2,5,atis_orig,0
ins,0.9409672830725462,0.013453486504865567,True,20,1,15,atis_orig,0
cont,0.8755334281650071,0.04678732327260704,True,20,2,5,atis_orig,0
ins,0.9783783783783784,0.007811965984492741,True,25,1,15,atis_orig,0
cont,0.9445234708392602,0.020157029398484575,True,25,2,1,atis_orig,0
ins,0.866852618319237,0.014763502346836033,True,5,1,15,fb_orig,0
cont,0.7030951952492352,0.043325801597461897,True,5,2,5,fb_orig,0
ins,0.9067122548137485,0.009237824136987214,True,10,1,15,fb_orig,0
cont,0.8362785675724312,0.021629043628902184,True,10,2,5,fb_orig,0
ins,0.9317257513046607,0.0037766173171086314,True,20,1,15,fb_orig,0
cont,0.8890408493791615,0.013365739394779391,True,20,2,1,fb_orig,0
ins,0.9351988482994422,0.004738240180057948,True,30,1,10,fb_orig,0
cont,0.8995051286665465,0.008213533595829024,True,30,2,2,fb_orig,0
ins,0.9403095195249234,0.003617059564513229,True,40,1,10,fb_orig,0
cont,0.9145402195429186,0.011146340311156038,True,40,2,5,fb_orig,0
ins,0.9439805650530863,0.005857221356496121,True,50,1,10,fb_orig,0
cont,0.9204156919201006,0.007938134760058623,True,50,2,1,fb_orig,0
ins,0.3311764705882353,0.013702938395435843,True,5,1,15,sst_orig,0
cont,0.3071945701357466,0.017332088800391023,True,5,2,5,sst_orig,0
ins,0.35628959276018096,0.01744659313817899,False,10,1,10,sst_orig,0
cont,0.3442986425339366,0.018588365268505387,False,10,2,1,sst_orig,0
ins,0.4035294117,0.009712814954616506,True,20,1,5,sst_orig,0
cont,0.38751131221719454,0.018524645932113736,True,20,2,2,sst_orig,0
ins,0.4087330316742081,0.014086940151939727,False,30,2,2,sst_orig,0
cont,0.4140045248868779,0.011739858027140287,False,30,1,2,sst_orig,0
ins,0.4237556561085973,0.02186250966946192,False,40,1,1,sst_orig,0
cont,0.4157692307692308,0.021751614109425284,False,40,2,1,sst_orig,0
ins,0.4263348416289593,0.01496335689300986,False,50,1,2,sst_orig,0
cont,0.4251809954751131,0.016795362813436653,False,50,2,1,sst_orig,0
ins,0.449683257918552,0.01498113444103188,False,100,2,1,sst_orig,0
cont,0.45701357466063347,0.017449878793166267,False,100,1,1,sst_orig,0
ins,0.33560273479668934,0.019272141592085987,True,5,1,15,yelp_orig,0
cont,0.26788413098236774,0.01975986087397696,True,5,2,2,yelp_orig,0
ins,0.40482187837351563,0.013845929390820196,False,10,1,10,yelp_orig,0
cont,0.3946851385390428,0.019011702951525798,False,10,2,5,yelp_orig,0
ins,0.4198632601655271,0.014043675785464905,False,20,1,1,yelp_orig,0
