method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
para,0.826,0.007176350047203665,False,5,1,2,ag_news_orig,0
back,0.8225000000000001,0.015370426148939392,False,5,2,5,ag_news_orig,0
para,0.8452500000000001,0.009045026257562771,False,10,1,2,ag_news_orig,0
back,0.844125,0.010008590060543,False,10,2,2,ag_news_orig,0
para,0.8662500000000002,0.0064468984791138054,True,20,1,1,ag_news_orig,0
back,0.8536250000000001,0.00747809300557302,True,20,2,1,ag_news_orig,0
para,0.8547499999999999,0.010090218035305297,False,30,1,1,ag_news_orig,0
back,0.8472500000000001,0.010028085560065807,False,30,2,5,ag_news_orig,0
para,0.8615,0.00792148975887744,False,40,1,1,ag_news_orig,0
back,0.8575000000000002,0.00945383520059454,False,40,2,1,ag_news_orig,0
para,0.86075,0.007075485849042457,False,50,2,2,ag_news_orig,0
back,0.8616250000000001,0.009914478049801712,False,50,1,1,ag_news_orig,0
para,0.8612500000000001,0.008891709621889366,False,100,2,1,ag_news_orig,0
back,0.8647500000000001,0.008097067370350809,False,100,1,15,ag_news_orig,0
para,0.6081361454046639,0.022860455345474658,False,5,2,1,20_news_orig,0
back,0.6268089849108367,0.011554971407478146,False,5,1,2,20_news_orig,0
para,0.6549897119341563,0.012946542916947038,False,10,2,10,20_news_orig,0
back,0.6564043209876542,0.008044565983482042,False,10,1,1,20_news_orig,0
para,0.6923353909465021,0.009745585739768645,False,20,2,5,20_news_orig,0
back,0.6978137860082305,0.009248858184215548,False,20,1,1,20_news_orig,0
para,0.7266718106995885,0.006465204492975503,True,30,2,1,20_news_orig,0
back,0.7318244170096022,0.007775169790628166,True,30,1,1,20_news_orig,0
para,0.7359224965706448,0.010166303342389205,False,40,2,1,20_news_orig,0
back,0.742815500685871,0.007141977152912304,False,40,1,1,20_news_orig,0
para,0.7507801783264746,0.007298612540663624,False,50,2,1,20_news_orig,0
back,0.7543552812071331,0.008731464503725177,False,50,1,5,20_news_orig,0
para,0.7555469824000001,0.0054885825296612034,False,100,2,1,20_news_orig,0
back,0.7564128943758572,0.010308821085122951,False,100,1,2,20_news_orig,0
para,0.8409672830725462,0.027338180446168356,True,5,1,15,atis_orig,0
back,0.6591749644381223,0.04859871161162326,True,5,2,10,atis_orig,0
para,0.8658605975,0.01898937682124163,False,10,1,15,atis_orig,0
back,0.8386913229018493,0.048486165232902986,False,10,2,10,atis_orig,0
para,0.9334281650071125,0.015198532448583916,True,20,1,15,atis_orig,0
back,0.8997155049786629,0.027393266123204106,True,20,2,15,atis_orig,0
para,0.9702702702702701,0.00556222327055966,True,25,1,5,atis_orig,0
back,0.9530583214793742,0.006549567245076107,True,25,2,15,atis_orig,0
para,0.8186431527802771,0.013533343005519973,True,5,1,5,fb_orig,0
back,0.7825625337412273,0.02908325071885683,True,5,2,15,fb_orig,0
para,0.9061184092136045,0.006800731644392101,True,10,1,5,fb_orig,0
back,0.8855047687601225,0.013877867000388634,True,10,2,10,fb_orig,0
para,0.9257513046607884,0.0032622693377361216,True,20,1,5,fb_orig,0
back,0.9197228720532662,0.004824256650672088,True,20,2,15,fb_orig,0
para,0.9315278027712794,0.004381592810531463,True,30,1,5,fb_orig,0
back,0.9259672485153858,0.0034339486544083453,True,30,2,15,fb_orig,0
para,0.9331833723231959,0.0026776771908949204,False,40,1,5,fb_orig,0
back,0.9308799712074863,0.003544621516180533,False,40,2,1,fb_orig,0
para,0.9440705416591685,0.003322854457465195,True,50,1,5,fb_orig,0
back,0.9398686341551196,0.002846604435232457,True,50,2,1,fb_orig,0
para,0.33398190045248866,0.014389495997196581,True,5,1,15,sst_orig,0
back,0.3071945701357466,0.026048929206452385,True,5,2,1,sst_orig,0
para,0.354524886877828,0.01055618384369974,False,10,2,2,sst_orig,0
back,0.3547058823529411,0.01777128799303153,False,10,1,1,sst_orig,0
para,0.3872398188,0.00796380086704546,False,20,2,5,sst_orig,0
back,0.3892986425339366,0.020227952492480345,False,20,1,1,sst_orig,0
para,0.41470588235294115,0.011332560892640895,False,30,1,1,sst_orig,0
back,0.4133257918552037,0.011082255356015137,False,30,2,5,sst_orig,0
para,0.4183257918552036,0.011891502578835079,False,40,1,1,sst_orig,0
back,0.4172171945701358,0.01707836117265249,False,40,2,15,sst_orig,0
para,0.42180995475113126,0.01736495716881165,False,50,2,1,sst_orig,0
back,0.43291855203619906,0.018341077921694298,False,50,1,10,sst_orig,0
para,0.458552036199095,0.014780804621338867,False,100,2,1,sst_orig,0
back,0.4612669683257919,0.011709232248884455,False,100,1,2,sst_orig,0
para,0.3485642317380352,0.011037138869908699,True,5,1,15,yelp_orig,0
back,0.2832349766102914,0.024348574035720938,True,5,2,15,yelp_orig,0
para,0.40237495501979126,0.00854449329707509,True,10,2,5,yelp_orig,0
back,0.4165635120546959,0.017451709237209484,True,10,1,2,yelp_orig,0
para,0.43702051097517086,0.01940027085497861,False,20,1,2,yelp_orig,0
back,0.43317380352644835,0.02708907089846745,False,20,2,5,yelp_orig,0
para,0.4487513494062612,0.027231893215561666,False,30,2,1,yelp_orig,0
back,0.46208348326736226,0.025910072276360635,False,30,1,10,yelp_orig,0
para,0.47273839510615323,0.02168529149345568,False,40,2,5,yelp_orig,0
back,0.48275998560633315,0.0235331442185486,False,40,1,15,yelp_orig,0
para,0.4879525008996041,0.018296282657076952,True,50,2,2,yelp_orig,0
back,0.5067290392227419,0.02011585098112533,True,50,1,1,yelp_orig,0
para,0.5137675422813962,0.012712745302474987,True,100,2,1,yelp_orig,0
back,0.5287801367398345,0.01368001230704313,True,100,1,5,yelp_orig,0
para,0.81225,0.01463941597195734,False,5,1,1,ag_news_orig,1
back,0.8015000000000001,0.012103718436910212,False,5,2,1,ag_news_orig,1
para,0.8385,0.005385164807134506,False,10,1,1,ag_news_orig,1
back,0.8345,0.009604686356149285,False,10,2,5,ag_news_orig,1
para,0.8477500000000001,0.009646890690787384,False,20,1,2,ag_news_orig,1
back,0.84175,0.008806957476904298,False,20,2,15,ag_news_orig,1
para,0.851,0.010074720839804955,False,30,1,1,ag_news_orig,1
back,0.8422500000000002,0.012472469683266449,False,30,2,15,ag_news_orig,1
para,0.8714999999999999,0.0050249378105604245,True,40,1,2,ag_news_orig,1
back,0.85025,0.011480962503205055,True,40,2,15,ag_news_orig,1
para,0.8637499999999999,0.009633924433998853,False,50,1,2,ag_news_orig,1
back,0.85725,0.0064662585781888006,False,50,2,10,ag_news_orig,1
para,0.8619999999999999,0.011499999999999982,False,100,2,5,ag_news_orig,1
back,0.8634999999999999,0.007762087348130019,False,100,1,15,ag_news_orig,1
para,0.551517489711934,0.021558396221175214,False,5,2,1,20_news_orig,1
back,0.5532150205761318,0.03530031662188847,False,5,1,5,20_news_orig,1
para,0.6521090534979423,0.020205488049188765,False,10,1,1,20_news_orig,1
back,0.6486539780521261,0.015921474397184193,False,10,2,5,20_news_orig,1
para,0.7118484224965707,0.009001812655887259,False,20,1,1,20_news_orig,1
back,0.7054012345679013,0.011690832604915184,False,20,2,10,20_news_orig,1
para,0.7103137860082305,0.010126870032183427,False,30,2,1,20_news_orig,1
back,0.7180298353909466,0.00694872452735511,False,30,1,5,20_news_orig,1
para,0.7275720164609053,0.0054700904251738965,False,40,1,1,20_news_orig,1
back,0.7269975994513033,0.011086093769658847,False,40,2,1,20_news_orig,1
para,0.7330161179698217,0.00798600411561405,False,50,2,1,20_news_orig,1
back,0.7367455418381345,0.010928040275158502,False,50,1,5,20_news_orig,1
para,0.7581704390999999,0.0069913917755503605,False,100,1,1,20_news_orig,1
back,0.757235939643347,0.01190943300610723,False,100,2,5,20_news_orig,1
para,0.8320056899004268,0.028481134619043114,True,5,1,15,atis_orig,1
