method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
para,0.826,0.007176350047203665,False,5,1,2,ag_news_orig,0
cont,0.819125,0.01567791041561342,False,5,2,1,ag_news_orig,0
para,0.8452500000000001,0.009045026257562771,False,10,1,2,ag_news_orig,0
cont,0.8362499999999999,0.010262187875886897,False,10,2,15,ag_news_orig,0
para,0.8662500000000002,0.0064468984791138054,True,20,1,1,ag_news_orig,0
cont,0.854875,0.00823388577768724,True,20,2,5,ag_news_orig,0
para,0.8547499999999999,0.010090218035305297,False,30,1,1,ag_news_orig,0
cont,0.850375,0.007170904754631739,False,30,2,10,ag_news_orig,0
para,0.8615,0.00792148975887744,False,40,1,1,ag_news_orig,0
cont,0.8577499999999999,0.010182705927208172,False,40,2,15,ag_news_orig,0
para,0.86075,0.007075485849042457,False,50,2,2,ag_news_orig,0
cont,0.8626250000000001,0.011332337578805179,False,50,1,15,ag_news_orig,0
para,0.8612500000000001,0.008891709621889366,False,100,2,1,ag_news_orig,0
cont,0.8667499999999999,0.008444672877027267,False,100,1,5,ag_news_orig,0
para,0.6081361454046639,0.022860455345474658,False,5,1,1,20_news_orig,0
cont,0.6040123456790123,0.02106332654487411,False,5,2,15,20_news_orig,0
para,0.6549897119341563,0.012946542916947038,True,10,1,10,20_news_orig,0
cont,0.6320216049382716,0.012900510868862106,True,10,2,10,20_news_orig,0
para,0.6923353909465021,0.009745585739768645,False,20,1,5,20_news_orig,0
cont,0.6849022633744857,0.010851284986639662,False,20,2,1,20_news_orig,0
para,0.7266718106995885,0.006465204492975503,True,30,1,1,20_news_orig,0
cont,0.7193244170096021,0.009975372046176649,True,30,2,2,20_news_orig,0
para,0.7359224965706448,0.010166303342389205,False,40,1,1,20_news_orig,0
cont,0.7336934156378601,0.009405971999201177,False,40,2,1,20_news_orig,0
para,0.7507801783264746,0.007298612540663624,False,50,2,1,20_news_orig,0
cont,0.7556155692729767,0.007492694949870436,False,50,1,1,20_news_orig,0
para,0.7555469824000001,0.0054885825296612034,False,100,1,1,20_news_orig,0
cont,0.7505915637860082,0.010972359417012576,False,100,2,1,20_news_orig,0
para,0.8409672830725462,0.027338180446168356,True,5,1,15,atis_orig,0
cont,0.7197724039829303,0.09618919296515045,True,5,2,2,atis_orig,0
para,0.8658605975,0.01898937682124163,False,10,2,15,atis_orig,0
cont,0.8819345661450925,0.03360174057188542,False,10,1,5,atis_orig,0
para,0.9334281650071125,0.015198532448583916,True,20,1,15,atis_orig,0
cont,0.8755334281650071,0.04678732327260704,True,20,2,5,atis_orig,0
para,0.9702702702702701,0.00556222327055966,True,25,1,5,atis_orig,0
