method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
para,0.8327499999999999,0.0079017403146395,True,5,1,5,ag_news_orig,0
back,0.8225000000000001,0.0153704261489393,True,5,2,5,ag_news_orig,0
para,0.843125,0.010089443740861,True,10,1,10,ag_news_orig,0
back,0.844125,0.010008590060543,False,10,1,2,ag_news_orig,0
para,0.86,0.0094868329805051,False,20,1,2,ag_news_orig,0
cont_ins,0.85775,0.009113863066779,False,20,2,10,ag_news_orig,0
para,0.8522500000000001,0.0082877922271253,False,30,1,2,ag_news_orig,0
cont_ins,0.851875,0.0094165744833246,False,30,2,10,ag_news_orig,0
para,0.8612499999999998,0.0084963227339832,False,40,2,2,ag_news_orig,0
cont_ins,0.8623749999999999,0.0085321084732907,False,40,1,10,ag_news_orig,0
para,0.8696249999999999,0.0086340532196645,False,50,1,2,ag_news_orig,0
cont_ins,0.8665,0.0090967026993301,False,50,2,10,ag_news_orig,0
para,0.8625,0.0130862523283024,False,100,2,1,ag_news_orig,0
cont_ins,0.86575,0.0066191011474368,False,100,1,15,ag_news_orig,0
para,0.6146347736625515,0.0194732373467709,False,5,1,1,20_news_orig,0
back,0.6268089849108367,0.0115549714074781,False,5,1,2,20_news_orig,0
para,0.6662037037037039,0.0089492539785527,True,10,1,1,20_news_orig,0
cont_ins,0.6576303155006858,0.0051356241285732,True,10,2,2,20_news_orig,0
para,0.7094050068587106,0.0105567098916385,False,20,1,1,20_news_orig,0
cont_ins,0.7032407407407406,0.0105236515493807,False,20,2,10,20_news_orig,0
para,0.731258573388203,0.0047899390222767,False,30,1,1,20_news_orig,0
back,0.7318244170096022,0.0077751697906281,False,30,1,1,20_news_orig,0
para,0.7374056927,0.0055723660632377,False,40,2,1,20_news_orig,0
back,0.742815500685871,0.0071419771529123,False,40,1,1,20_news_orig,0
para,0.7509657063999999,0.0049021816399775,False,50,2,1,20_news_orig,0
back,0.7543552812071331,0.0087314645037251,False,50,1,5,20_news_orig,0
para,0.731404664,0.0128213692094029,True,100,2,2,20_news_orig,0
cont_ins,0.7591220850480109,0.0070686740867957,True,100,1,1,20_news_orig,0
para,0.8904694167,0.0160304803665915,True,5,1,10,atis_orig,0
cont_ins,0.8250355618776671,0.0175489849368889,True,5,2,15,atis_orig,0
para,0.9009708344,0.0075347580604755,True,10,1,15,atis_orig,0
cont_ins,0.8876244665718349,0.0050492857323752,True,10,2,15,atis_orig,0
para,0.93072546230441,0.0083926031294452,False,20,2,10,atis_orig,0
cont_ins,0.9345661450924608,0.0064248021568342,False,20,1,15,atis_orig,0
para,0.9624466572,0.0061083672521801,False,25,2,15,atis_orig,0
cont_ins,0.968705547652916,0.0143944360064563,False,25,1,10,atis_orig,0
para,0.8076390138,0.0179202568380253,False,5,2,5,fb_orig,0
cont_ins,0.8175904264891128,0.0303403610602584,False,5,1,10,fb_orig,0
para,0.8915062084499998,0.0080033469816107,False,10,1,10,fb_orig,0
back,0.8855047687601225,0.0138778670003886,False,10,2,10,fb_orig,0
para,0.92443764625,0.0037337149399817,True,20,1,10,fb_orig,0
back,0.9197228720532662,0.004824256650672,True,20,2,15,fb_orig,0
para,0.93029512325,0.00258611924505,True,30,1,5,fb_orig,0
cont_ins,0.9277307899946016,0.0033421919030179,True,30,2,2,fb_orig,0
para,0.9360356307360088,0.0047616160611496,False,40,1,5,fb_orig,0
cont_ins,0.9322386179593304,0.0070162082024354,False,40,2,15,fb_orig,0
para,0.9405035991,0.0038616298365421,False,50,1,5,fb_orig,0
back,0.9398686341551196,0.0028466044352324,False,50,2,1,fb_orig,0
para,0.3418325793,0.0121368862292704,True,5,1,2,sst_orig,0
cont_ins,0.3253846153846152,0.0246815470289764,True,5,2,5,sst_orig,0
para,0.35800904975,0.0081216361597441,False,10,1,5,sst_orig,0
back,0.3547058823529411,0.0177712879930315,False,10,2,1,sst_orig,0
para,0.3951131221719456,0.0261492269167602,True,20,1,1,sst_orig,0
back,0.3892986425339366,0.0202279524924803,False,20,2,1,sst_orig,0
para,0.42305429855,0.0147912420284768,False,30,1,1,sst_orig,0
cont_ins,0.4194570135746606,0.0168578606427123,False,30,2,1,sst_orig,0
para,0.4283484165,0.0116539119042419,False,40,2,2,sst_orig,0
cont_ins,0.4327828054298643,0.0140675778507126,False,40,1,2,sst_orig,0
para,0.4339366515837105,0.0176829892947728,False,50,2,1,sst_orig,0
cont_ins,0.4350452488687783,0.0161725780843472,False,50,1,2,sst_orig,0
para,0.4720361990950226,0.0146382713090286,True,100,1,1,sst_orig,0
back,0.4612669683257919,0.0117092322488844,False,100,2,2,sst_orig,0
para,0.3319143576826196,0.0174285771641646,True,5,1,10,yelp_orig,0
back,0.2832349766102914,0.0243485740357209,True,5,2,15,yelp_orig,0
para,0.4073983446499999,0.0152056947479777,False,10,1,15,yelp_orig,0
back,0.4165635120546959,0.0174517092372094,True,10,1,2,yelp_orig,0
para,0.45005397645,0.0238993551782592,True,20,1,1,yelp_orig,0
back,0.4331738035264483,0.0270890708984674,False,20,2,5,yelp_orig,0
para,0.4697049299499999,0.0180897024108144,True,30,1,1,yelp_orig,0
back,0.4620834832673622,0.0259100722763606,False,30,2,10,yelp_orig,0
para,0.4946592298,0.0188676977167374,True,40,1,2,yelp_orig,0
back,0.4827599856063331,0.0235331442185486,False,40,2,15,yelp_orig,0
para,0.5202410939186757,0.0176084449943201,True,50,1,1,yelp_orig,0
back,0.5067290392227419,0.0201158509811253,True,50,2,1,yelp_orig,0
para,0.5231810003598417,0.012898090839149,True,100,1,1,yelp_orig,0
back,0.5287801367398345,0.0136800123070431,False,100,1,5,yelp_orig,0
para,0.7985,0.0145859521458148,False,5,1,10,ag_news_orig,1
back,0.8015000000000001,0.0121037184369102,False,5,1,1,ag_news_orig,1
para,0.82875,0.0090311959340942,False,10,1,2,ag_news_orig,1
back,0.8345,0.0096046863561492,False,10,1,5,ag_news_orig,1
para,0.8397500000000001,0.01175,False,20,2,15,ag_news_orig,1
cont_ins,0.8425,0.0066143782776614,False,20,1,10,ag_news_orig,1
para,0.8404999999999999,0.0126885775404495,False,30,2,5,ag_news_orig,1
cont_ins,0.8539999999999999,0.0096306801421291,False,30,1,2,ag_news_orig,1
para,0.8572500000000002,0.0099026511601691,False,40,2,1,ag_news_orig,1
cont_ins,0.8615,0.0111915146427997,False,40,1,15,ag_news_orig,1
para,0.8514999999999999,0.0126095202129184,True,50,2,1,ag_news_orig,1
cont_ins,0.8644999999999999,0.0102347447452293,True,50,1,2,ag_news_orig,1
para,0.8622500000000001,0.0093173225767921,False,100,2,15,ag_news_orig,1
cont_ins,0.86625,0.0072672209268743,False,100,1,2,ag_news_orig,1
para,0.578395061728395,0.0240986398078191,False,5,2,15,20_news_orig,1
cont_ins,0.5933899176954732,0.0168708966406964,False,5,1,10,20_news_orig,1
para,0.669230109739369,0.0170624404890792,False,10,1,5,20_news_orig,1
cont_ins,0.6622256515775033,0.0205434840445239,False,10,2,15,20_news_orig,1
para,0.7100823045267489,0.0117883433094577,False,20,1,1,20_news_orig,1
