method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
swap,0.8195,0.011390785749894505,True,5,1,10,ag_news_orig,0
clean,0.8019999999999999,0.015724185193516396,True,5,2,0,ag_news_orig,0
swap,0.8334999999999999,0.015976545308670455,False,10,1,1,ag_news_orig,0
clean,0.82025,0.014977065800750158,False,10,2,0,ag_news_orig,0
swap,0.8615,0.009630680142129104,True,20,1,5,ag_news_orig,0
clean,0.8432499999999999,0.006896557112066856,True,20,2,0,ag_news_orig,0
swap,0.8574999999999999,0.006800735254367724,True,30,1,5,ag_news_orig,0
clean,0.8477499999999999,0.010455261833163242,True,30,2,0,ag_news_orig,0
swap,0.8632500000000001,0.006427480066091221,True,40,1,1,ag_news_orig,0
clean,0.8545,0.008124038404635985,True,40,2,0,ag_news_orig,0
swap,0.8595,0.004582575694955836,False,50,2,1,ag_news_orig,0
clean,0.8605,0.009797958971132729,False,50,1,0,ag_news_orig,0
swap,0.8640000000000001,0.009886859966642608,True,100,1,15,ag_news_orig,0
clean,0.85625,0.007004462863060965,True,100,2,0,ag_news_orig,0
swap,0.6089934842249658,0.023560009284781466,False,5,1,1,20_news_orig,0
clean,0.596510631,0.0169759168188819,False,5,2,0,20_news_orig,0
swap,0.6512002743484224,0.017249827508723302,False,10,1,2,20_news_orig,0
clean,0.6407664609,0.014236753466231985,False,10,2,0,20_news_orig,0
swap,0.6915723593964335,0.011161566971774048,False,20,1,5,20_news_orig,0
clean,0.686042524,0.014035398665936179,False,20,2,0,20_news_orig,0
swap,0.7258316186556927,0.01280718717119811,False,30,1,1,20_news_orig,0
clean,0.7171982165999999,0.022040251810426254,False,30,2,0,20_news_orig,0
swap,0.7281978737997257,0.019460120092690904,False,40,2,1,20_news_orig,0
clean,0.7334705075445817,0.008742569431291388,False,40,1,0,20_news_orig,0
swap,0.7456104252400548,0.006645211018798737,False,50,1,2,20_news_orig,0
clean,0.7428583676268861,0.018683694795009812,False,50,2,0,20_news_orig,0
swap,0.7502657750342936,0.010939687020179337,False,100,2,1,20_news_orig,0
clean,0.7517575445816187,0.0172640557959409,False,100,1,0,20_news_orig,0
swap,0.7652916073968706,0.03485499435742084,True,5,1,15,atis_orig,0
clean,0.6475106685633001,0.05432588682687914,True,5,2,0,atis_orig,0
swap,0.8532005689900426,0.039802876825672934,False,10,1,1,atis_orig,0
clean,0.829018492176387,0.04524186493394327,False,10,2,0,atis_orig,0
swap,0.8510668563300141,0.047935722667818585,False,20,2,15,atis_orig,0
clean,0.8534850640113797,0.027310040263264283,False,20,1,0,atis_orig,0
