method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
ins,0.8140000000000001,0.007088723439378907,True,5,1,5,ag_news_orig,0
clean,0.3205,0.06277738446287803,True,5,2,0,ag_news_orig,0
ins,0.84975,0.007619875327064092,True,10,1,2,ag_news_orig,0
clean,0.49874999999999997,0.14054914620871944,True,10,2,0,ag_news_orig,0
ins,0.8532500000000001,0.005006246098625202,True,20,1,1,ag_news_orig,0
clean,0.69025,0.06259442866581656,True,20,2,0,ag_news_orig,0
ins,0.8532500000000001,0.004190763653560064,True,30,1,10,ag_news_orig,0
clean,0.80525,0.016064323826417336,True,30,2,0,ag_news_orig,0
ins,0.8545,0.005567764362830021,True,40,1,5,ag_news_orig,0
clean,0.7735000000000001,0.045951060923552126,True,40,2,0,ag_news_orig,0
ins,0.857,0.009473647660748222,True,50,1,15,ag_news_orig,0
clean,0.7889999999999999,0.04440157654858664,True,50,2,0,ag_news_orig,0
ins,0.87675,0.0038810436740649846,True,100,1,1,ag_news_orig,0
clean,0.8644999999999999,0.004582575694955847,True,100,2,0,ag_news_orig,0
ins,0.6420610425240054,0.004709748496224754,True,5,1,1,20_news_orig,0
clean,0.20204046639231824,0.09019340650000553,True,5,2,0,20_news_orig,0
ins,0.6653806584362141,0.004897648845738056,True,10,1,2,20_news_orig,0
clean,0.21682098765432095,0.1024061488095184,True,10,2,0,20_news_orig,0
ins,0.7107853223593965,0.002915758784499304,True,20,1,1,20_news_orig,0
clean,0.41245713305898485,0.13435973423800318,True,20,2,0,20_news_orig,0
ins,0.7200102880658437,0.005087971835962728,True,30,1,1,20_news_orig,0
clean,0.6123456790123457,0.06339240228049785,True,30,2,0,20_news_orig,0
ins,0.7262688614540467,0.005196746370519355,True,40,1,5,20_news_orig,0
clean,0.5365140603566528,0.06656300916461941,True,40,2,0,20_news_orig,0
ins,0.7410150891632373,0.006030670203586598,True,50,1,1,20_news_orig,0
clean,0.6509173525377229,0.033768551889494236,True,50,2,0,20_news_orig,0
ins,0.7488425925925927,0.0028659363374077046,True,100,2,2,20_news_orig,0
clean,0.7547239368998628,0.002148638872037186,True,100,1,0,20_news_orig,0
ins,0.7604551920341394,0.02427561192602203,False,5,1,15,atis_orig,0
clean,0.5220483641536273,0.24115127808199183,False,5,2,0,atis_orig,0
ins,0.884352773826458,0.01203736728195735,True,10,1,15,atis_orig,0
clean,0.7773826458036984,0.04577740602294056,True,10,2,0,atis_orig,0
ins,0.8884779516358463,0.010762037166075536,False,20,2,15,atis_orig,0
clean,0.8899004267425319,0.013117657904294176,False,20,1,0,atis_orig,0
ins,0.9418207681365576,0.015352849674915557,True,25,1,10,atis_orig,0
clean,0.8997155049786627,0.016518482606449336,True,25,2,0,atis_orig,0
ins,0.8626956991182293,0.008599052521945807,True,5,1,10,fb_orig,0
clean,0.19946014036350548,0.17621915338008803,True,5,2,0,fb_orig,0
ins,0.8995321216483714,0.00599330654277775,True,10,1,15,fb_orig,0
clean,0.30705416591686163,0.15984392160977326,True,10,2,0,fb_orig,0
ins,0.9265071081518805,0.002147709735157217,True,20,1,10,fb_orig,0
clean,0.44669785855677524,0.12856616285921163,True,20,2,0,fb_orig,0
ins,0.9373043008817706,0.0018443229044907779,True,30,1,15,fb_orig,0
clean,0.7636314558214864,0.037051335069802634,True,30,2,0,fb_orig,0
ins,0.9416411732949432,0.0016434960469054473,True,40,1,15,fb_orig,0
clean,0.6418031311858916,0.09382123514637104,True,40,2,0,fb_orig,0
ins,0.9463739427748786,0.0013609984092991328,True,50,1,15,fb_orig,0
clean,0.7750404894727371,0.07960376129965416,True,50,2,0,fb_orig,0
ins,0.2802262443438914,0.006708593073314287,True,5,1,15,sst_orig,0
clean,0.18606334841628955,0.04359032811561718,True,5,2,0,sst_orig,0
ins,0.33628959276018094,0.012518163131292484,True,10,1,15,sst_orig,0
clean,0.20058823529411765,0.061932478947381076,True,10,2,0,sst_orig,0
ins,0.38031674208144794,0.005494524506602328,True,20,1,5,sst_orig,0
clean,0.20628959276018097,0.02159224624179293,True,20,2,0,sst_orig,0
ins,0.39728506787330314,0.005755684566934981,True,30,1,10,sst_orig,0
clean,0.23877828054298642,0.04738057859184542,True,30,2,0,sst_orig,0
ins,0.4112669683257918,0.006371741271644989,True,40,1,5,sst_orig,0
clean,0.18832579185520357,0.02600200170896062,True,40,2,0,sst_orig,0
ins,0.420814479638009,0.011268694556016036,True,50,1,2,sst_orig,0
