method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
para,0.8239999999999998,0.005830951894845314,True,5,1,10,ag_news_orig,0
clean,0.3205,0.06277738446287803,True,5,2,0,ag_news_orig,0
para,0.8515,0.006633249580710789,True,10,1,5,ag_news_orig,0
clean,0.49874999999999997,0.14054914620871944,True,10,2,0,ag_news_orig,0
para,0.8717499999999999,0.00592135964116349,True,20,1,1,ag_news_orig,0
clean,0.69025,0.06259442866581656,True,20,2,0,ag_news_orig,0
para,0.8542500000000001,0.004038873605350875,True,30,1,5,ag_news_orig,0
clean,0.80525,0.016064323826417336,True,30,2,0,ag_news_orig,0
para,0.858,0.005338539126015669,True,40,1,2,ag_news_orig,0
clean,0.7735000000000001,0.045951060923552126,True,40,2,0,ag_news_orig,0
para,0.8700000000000001,0.005809475019311106,True,50,1,5,ag_news_orig,0
clean,0.7889999999999999,0.04440157654858664,True,50,2,0,ag_news_orig,0
para,0.8765000000000001,0.007262919523166959,True,100,1,5,ag_news_orig,0
clean,0.8644999999999999,0.004582575694955847,True,100,2,0,ag_news_orig,0
para,0.6419495887,0.0026475117270932293,True,5,1,1,20_news_orig,0
clean,0.20204046639231824,0.09019340650000553,True,5,2,0,20_news_orig,0
para,0.6660236625514403,0.007054731663768251,True,10,1,5,20_news_orig,0
clean,0.21682098765432095,0.1024061488095184,True,10,2,0,20_news_orig,0
para,0.7020490399,0.0075941105449212655,True,20,1,1,20_news_orig,0
clean,0.41245713305898485,0.13435973423800318,True,20,2,0,20_news_orig,0
para,0.7226587107,0.012895330922801436,True,30,1,1,20_news_orig,0
clean,0.6123456790123457,0.06339240228049785,True,30,2,0,20_news_orig,0
para,0.7289293553,0.0056585690267108345,True,40,1,1,20_news_orig,0
clean,0.5365140603566528,0.06656300916461941,True,40,2,0,20_news_orig,0
para,0.7391080246,0.006530748669825152,True,50,1,1,20_news_orig,0
clean,0.6509173525377229,0.033768551889494236,True,50,2,0,20_news_orig,0
para,0.7390432097999999,0.003762301207459151,True,100,2,1,20_news_orig,0
clean,0.7547239368998628,0.002148638872037186,True,100,1,0,20_news_orig,0
para,0.8110953058321477,0.01600268689664321,True,5,1,15,atis_orig,0
