method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
swap,0.81525,0.009045026257562743,True,5,1,15,ag_news_orig,0
back,0.71675,0.04541544340860277,True,5,2,10,ag_news_orig,0
swap,0.8510000000000002,0.00538516480713451,False,10,1,2,ag_news_orig,0
back,0.8465,0.005722761571129807,False,10,2,10,ag_news_orig,0
swap,0.86075,0.0047500000000000086,False,20,1,5,ag_news_orig,0
back,0.85625,0.0047762432936356855,False,20,2,1,ag_news_orig,0
swap,0.859,0.0039051248379533324,True,30,1,10,ag_news_orig,0
back,0.85,0.007664854858377964,True,30,2,10,ag_news_orig,0
swap,0.8702500000000001,0.0037831864876053806,True,40,1,5,ag_news_orig,0
back,0.8602500000000001,0.0037831864876053784,True,40,2,5,ag_news_orig,0
swap,0.87225,0.00517807879430198,True,50,1,10,ag_news_orig,0
back,0.86425,0.002512468905280231,True,50,2,10,ag_news_orig,0
swap,0.8765000000000001,0.006819090848492902,False,100,1,5,ag_news_orig,0
back,0.87325,0.004616546328154823,False,100,2,10,ag_news_orig,0
swap,0.6388717421124829,0.007913827116220927,True,5,1,1,20_news_orig,0
back,0.5921639231824416,0.04114256358593728,True,5,2,10,20_news_orig,0
swap,0.6695130315500686,0.009492239222820907,False,10,2,2,20_news_orig,0
back,0.677854938271605,0.005810866449393749,False,10,1,10,20_news_orig,0
swap,0.7131858710562414,0.004557657035360253,False,20,2,1,20_news_orig,0
back,0.7137259945130314,0.006085710779347762,False,20,1,10,20_news_orig,0
swap,0.7185785322359397,0.004459851492101316,True,30,2,1,20_news_orig,0
back,0.7402949245541839,0.0037244045658378216,True,30,1,5,20_news_orig,0
swap,0.7268089849108368,0.0051159857811865226,True,40,2,1,20_news_orig,0
back,0.7437757201646091,0.002165251581936134,True,40,1,5,20_news_orig,0
swap,0.7391975308641976,0.003889522391021376,True,50,2,1,20_news_orig,0
back,0.7580589849108368,0.0027807398388592,True,50,1,10,20_news_orig,0
swap,0.7435699588477366,0.006027768715157728,True,100,2,1,20_news_orig,0
back,0.7590449245541837,0.0026188157708241554,True,100,1,1,20_news_orig,0
swap,0.6699857752489331,0.029005938209900013,False,5,1,15,atis_orig,0
back,0.6254623044096728,0.15135970682505512,False,5,2,10,atis_orig,0
swap,0.7607396870554765,0.050739908382070965,False,10,2,15,atis_orig,0
back,0.7620199146514935,0.035173124054179106,False,10,1,10,atis_orig,0
swap,0.8662873399715505,0.02043617069253825,False,20,1,1,atis_orig,0
back,0.8513513513513514,0.01936082160571296,False,20,2,1,atis_orig,0
swap,0.9368421052631579,0.012646435716012998,True,25,1,10,atis_orig,0
back,0.8900426742532007,0.03362612008778132,True,25,2,2,atis_orig,0
swap,0.6765341011337054,0.029927387828078297,True,5,1,10,fb_orig,0
back,0.2929458340831384,0.16777584209857468,True,5,2,1,fb_orig,0
swap,0.8802051466618679,0.007244340591634568,True,10,1,15,fb_orig,0
back,0.7912902645312219,0.025054476718298895,True,10,2,5,fb_orig,0
swap,0.9112830664027353,0.005272966901741872,True,20,1,10,fb_orig,0
back,0.8590786395537162,0.006707428595784808,True,20,2,15,fb_orig,0
swap,0.9169695879071442,0.0023285695331469024,True,30,1,10,fb_orig,0
back,0.9015655929458342,0.004763154510726172,True,30,2,15,fb_orig,0
swap,0.9207306100413891,0.0017246428947789456,True,40,1,15,fb_orig,0
back,0.879953212164837,0.005795191965737323,True,40,2,15,fb_orig,0
swap,0.9324815547957532,0.0027050505559278815,True,50,1,15,fb_orig,0
back,0.9086197588626957,0.003573600762963201,True,50,2,5,fb_orig,0
swap,0.2851131221719457,0.012969070971634179,True,5,1,15,sst_orig,0
back,0.2164253393665158,0.030554246290502803,True,5,2,2,sst_orig,0
swap,0.3656108597285067,0.00527687954284642,True,10,1,15,sst_orig,0
back,0.32085972850678723,0.014272342500345389,True,10,2,1,sst_orig,0
swap,0.385972850678733,0.00595499868827588,True,20,1,15,sst_orig,0
back,0.2668325791855203,0.04113022613273726,True,20,2,10,sst_orig,0
swap,0.41665158371040717,0.007828969684663244,True,30,1,10,sst_orig,0
back,0.3738914027149321,0.008956647541664352,True,30,2,15,sst_orig,0
swap,0.4147511312217194,0.0043174155445707,True,40,1,10,sst_orig,0
back,0.29778280542986424,0.04155238382997149,True,40,2,2,sst_orig,0
swap,0.41678733031674203,0.006105915281849822,True,50,1,10,sst_orig,0
back,0.3314932126696832,0.01506753359311592,True,50,2,15,sst_orig,0
swap,0.45683257918552034,0.0065578085120334174,True,100,1,5,sst_orig,0
back,0.4490950226244344,0.00765829584836464,True,100,2,10,sst_orig,0
swap,0.31534364879453036,0.012722122715480823,True,5,1,10,yelp_orig,0
back,0.20284274919035622,0.04696057319360882,True,5,2,1,yelp_orig,0
swap,0.3741489744512414,0.014338281350421887,True,10,2,5,yelp_orig,0
back,0.40515293270960767,0.016676204424925796,True,10,1,2,yelp_orig,0
swap,0.43853904282115863,0.009641997659031978,True,20,2,5,yelp_orig,0
back,0.46696653472472105,0.009590830258629791,True,20,1,15,yelp_orig,0
swap,0.46284994602374957,0.007367466221163132,True,30,2,5,yelp_orig,0
back,0.4912990284274919,0.009448332234472206,True,30,1,1,yelp_orig,0
swap,0.4952069089600576,0.005638887744555138,False,40,2,5,yelp_orig,0
back,0.5026412378553436,0.01015573922065048,False,40,1,1,yelp_orig,0
swap,0.5106801007556674,0.007565405604507175,True,50,2,5,yelp_orig,0
back,0.5283267362360561,0.005616615533128592,True,50,1,15,yelp_orig,0
swap,0.5428715365239294,0.005578896863626967,False,100,2,1,yelp_orig,0
back,0.5463691975530767,0.00391296007773642,False,100,1,2,yelp_orig,0
swap,0.79925,0.011404494727957048,True,5,1,15,ag_news_orig,1
back,0.7592500000000001,0.028767386047397495,True,5,2,5,ag_news_orig,1
swap,0.8422500000000002,0.008325412902673376,False,10,1,15,ag_news_orig,1
