method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
swap,0.8195,0.00804673846971554,False,5,2,10,ag_news_orig,0
cont_ins,0.8205,0.006964194138592048,False,5,1,10,ag_news_orig,0
swap,0.8564999999999999,0.0040620192023179645,True,10,1,15,ag_news_orig,0
cont_ins,0.8522500000000001,0.0036142080737002298,True,10,2,10,ag_news_orig,0
swap,0.85625,0.006914658342969666,False,20,1,1,ag_news_orig,0
cont_ins,0.85125,0.003400367627183874,False,20,2,1,ag_news_orig,0
swap,0.8532499999999998,0.005595757321399857,False,30,2,10,ag_news_orig,0
cont_ins,0.8567500000000001,0.0025124689052802187,False,30,1,15,ag_news_orig,0
swap,0.86025,0.005297405025104278,False,40,1,10,ag_news_orig,0
cont_ins,0.8575000000000002,0.00580947501931114,False,40,2,1,ag_news_orig,0
swap,0.8720000000000001,0.003674234614174757,True,50,1,15,ag_news_orig,0
cont_ins,0.85975,0.00453458928680426,True,50,2,1,ag_news_orig,0
swap,0.86775,0.00394493345951487,True,100,2,2,ag_news_orig,0
cont_ins,0.8727500000000001,0.002839454172900119,True,100,1,1,ag_news_orig,0
swap,0.6472650891632373,0.0043806658055363145,False,5,2,1,20_news_orig,0
cont_ins,0.6498971193415638,0.003976832448659296,False,5,1,2,20_news_orig,0
swap,0.6528120713305899,0.008269316252103365,True,10,2,1,20_news_orig,0
cont_ins,0.6675068587105624,0.005799540675952239,True,10,1,1,20_news_orig,0
swap,0.7069787379972565,0.00679754534036037,True,20,2,1,20_news_orig,0
cont_ins,0.721639231824417,0.0031523498533422506,True,20,1,1,20_news_orig,0
swap,0.724494170096022,0.006453233209404583,True,30,2,1,20_news_orig,0
cont_ins,0.742824074074074,0.0033668537082582176,True,30,1,1,20_news_orig,0
swap,0.7345850480109739,0.004050742206298382,True,40,2,1,20_news_orig,0
cont_ins,0.7511831275720164,0.0025208677266641884,True,40,1,1,20_news_orig,0
swap,0.7459276406035664,0.004273169680470918,True,50,2,1,20_news_orig,0
cont_ins,0.763914609053498,0.0016913928254752293,True,50,1,2,20_news_orig,0
swap,0.7453103566529493,0.004888643384090226,True,100,2,1,20_news_orig,0
cont_ins,0.7632115912208505,0.0025491813245801243,True,100,1,1,20_news_orig,0
swap,0.6125177809388335,0.027118211083453705,True,5,2,15,atis_orig,0
cont_ins,0.7209103840682788,0.033431494038405445,True,5,1,15,atis_orig,0
swap,0.7167852062588904,0.031567732172224666,True,10,2,1,atis_orig,0
cont_ins,0.8462304409672831,0.02280800329879144,True,10,1,15,atis_orig,0
swap,0.8502133712660029,0.01840498098864484,False,20,2,1,atis_orig,0
cont_ins,0.8541963015647227,0.016146815631719096,False,20,1,15,atis_orig,0
swap,0.897724039829303,0.014216925301091823,True,25,2,10,atis_orig,0
cont_ins,0.9368421052631577,0.00902347170819556,True,25,1,15,atis_orig,0
swap,0.6937196328954471,0.018629807843162087,True,5,2,10,fb_orig,0
cont_ins,0.8542199028252654,0.006232956882810548,True,5,1,15,fb_orig,0
swap,0.8655569551916502,0.015323615672028931,True,10,2,5,fb_orig,0
cont_ins,0.9052546337952132,0.003965713171519621,True,10,1,15,fb_orig,0
swap,0.906802231419831,0.004917334712165819,True,20,2,5,fb_orig,0
cont_ins,0.9232859456541298,0.0034020677100767473,True,20,1,15,fb_orig,0
swap,0.9230520064783156,0.0036127148004548118,True,30,2,15,fb_orig,0
cont_ins,0.9312938635954653,0.002634701856136972,True,30,1,15,fb_orig,0
swap,0.9315997840561454,0.00236479336373907,True,40,2,15,fb_orig,0
cont_ins,0.9333993161777938,0.0014892691262336324,True,40,1,15,fb_orig,0
swap,0.938725931257873,0.0014691281491370203,True,50,2,15,fb_orig,0
cont_ins,0.9410293323735829,0.0017205070545455883,True,50,1,15,fb_orig,0
swap,0.3147058823529411,0.009614186776600524,False,5,2,10,sst_orig,0
cont_ins,0.32194570135746603,0.0103406288525126,False,5,1,15,sst_orig,0
swap,0.3485972850678733,0.012026669244680486,False,10,2,15,sst_orig,0
cont_ins,0.34963800904977377,0.005794859232270976,False,10,1,10,sst_orig,0
swap,0.3926696832579185,0.006206851836916663,False,20,1,10,sst_orig,0
cont_ins,0.3887330316742081,0.004782058358500063,False,20,2,5,sst_orig,0
swap,0.3980090497737557,0.007837856442416163,False,30,2,2,sst_orig,0
cont_ins,0.4026696832579185,0.01918728114518881,False,30,1,2,sst_orig,0
swap,0.4191402714932126,0.01074229491986556,False,40,1,10,sst_orig,0
cont_ins,0.41230769230769226,0.007345941673694372,False,40,2,2,sst_orig,0
swap,0.4194570135746606,0.008554310310774365,False,50,2,5,sst_orig,0
cont_ins,0.4254298642533936,0.006789743160869759,False,50,1,2,sst_orig,0
swap,0.4476470588235294,0.00840959691080905,False,100,2,5,sst_orig,0
cont_ins,0.44986425339366515,0.005836227090456551,False,100,1,2,sst_orig,0
swap,0.294069809283915,0.010955908981604241,True,5,2,15,yelp_orig,0
cont_ins,0.32286433969053613,0.011350426185146386,True,5,1,10,yelp_orig,0
swap,0.39268082043900676,0.01037323364764904,True,10,2,2,yelp_orig,0
cont_ins,0.4128823317740194,0.006410597271500483,True,10,1,2,yelp_orig,0
swap,0.43781935948182793,0.00782976114519985,True,20,2,2,yelp_orig,0
cont_ins,0.45666066930550564,0.00978579083174152,True,20,1,2,yelp_orig,0
swap,0.47360921194674344,0.010565520093177218,False,30,2,1,yelp_orig,0
cont_ins,0.4817344368477869,0.009016690228782596,False,30,1,2,yelp_orig,0
swap,0.49284634760705287,0.004499540585301924,True,40,2,5,yelp_orig,0
cont_ins,0.5016048938467075,0.0066473032608496165,True,40,1,2,yelp_orig,0
swap,0.5077581863979849,0.006580680720137641,True,50,2,5,yelp_orig,0
cont_ins,0.5171284634760707,0.0054193875782875415,True,50,1,1,yelp_orig,0
swap,0.5395537963296151,0.003921244058561752,True,100,2,1,yelp_orig,0
cont_ins,0.5476142497301187,0.0038896803944494483,True,100,1,1,yelp_orig,0
swap,0.7994999999999999,0.007141428428542862,False,5,1,10,ag_news_orig,1
cont_ins,0.79325,0.008219641111386808,False,5,2,15,ag_news_orig,1
swap,0.8370000000000001,0.008717797887081352,False,10,1,1,ag_news_orig,1
cont_ins,0.8307499999999999,0.0062299678971885555,False,10,2,1,ag_news_orig,1
swap,0.8397500000000001,0.0067500000000000095,False,20,2,1,ag_news_orig,1
cont_ins,0.8414999999999999,0.0039051248379533294,False,20,1,2,ag_news_orig,1
swap,0.8352499999999999,0.007369701486491826,True,30,2,1,ag_news_orig,1
cont_ins,0.8462500000000001,0.004220485754033542,True,30,1,15,ag_news_orig,1
swap,0.851,0.00867467578644875,False,40,2,10,ag_news_orig,1
cont_ins,0.8567500000000001,0.005706356105256672,False,40,1,15,ag_news_orig,1
swap,0.8535,0.004769696007084716,True,50,2,1,ag_news_orig,1
cont_ins,0.861,0.00653834841531102,True,50,1,15,ag_news_orig,1
swap,0.8724999999999999,0.004999999999999994,False,100,1,2,ag_news_orig,1
cont_ins,0.8705,0.005099019513592783,False,100,2,1,ag_news_orig,1
swap,0.5525462962962963,0.016312814880145143,True,5,2,15,20_news_orig,1
cont_ins,0.5871141975308642,0.009027289252411521,True,5,1,10,20_news_orig,1
swap,0.6658007544581619,0.007201385822261459,True,10,2,1,20_news_orig,1
cont_ins,0.6732510288065845,0.006429789661291287,True,10,1,1,20_news_orig,1
swap,0.6923010973936901,0.011651168327406739,True,20,2,2,20_news_orig,1
cont_ins,0.7084362139917695,0.0030679795114977953,True,20,1,2,20_news_orig,1
swap,0.7041838134430727,0.0035061279597454935,True,30,2,2,20_news_orig,1
cont_ins,0.7323559670781892,0.003950239203254366,True,30,1,1,20_news_orig,1
swap,0.7103823731138545,0.005003282741731034,True,40,2,1,20_news_orig,1
cont_ins,0.7426526063100137,0.002795516213137952,True,40,1,1,20_news_orig,1
swap,0.7246313443072703,0.007278039079229459,True,50,2,1,20_news_orig,1
cont_ins,0.7502314814814814,0.002108792097956518,True,50,1,1,20_news_orig,1
swap,0.7493312757201644,0.003998141471568529,True,100,2,1,20_news_orig,1
cont_ins,0.7632287379972567,0.002101109896907052,True,100,1,1,20_news_orig,1
swap,0.7489331436699859,0.017609414513712583,True,5,2,15,atis_orig,1
cont_ins,0.8081081081081081,0.020060933988768192,True,5,1,15,atis_orig,1
swap,0.8465149359886202,0.030292040749359175,True,10,2,10,atis_orig,1
cont_ins,0.898719772403983,0.007521652384866189,True,10,1,15,atis_orig,1
swap,0.8980085348506401,0.016577176045139433,True,20,2,5,atis_orig,1
cont_ins,0.9243243243243242,0.010390886126742367,True,20,1,10,atis_orig,1
swap,0.9248933143669985,0.009871608291833504,True,25,2,5,atis_orig,1
cont_ins,0.9376955903271693,0.00401329615353227,True,25,1,15,atis_orig,1
swap,0.8102933237358286,0.01000863464161212,True,5,2,10,fb_orig,1
cont_ins,0.8716393737628216,0.008283733266958587,True,5,1,15,fb_orig,1
swap,0.8541119308979666,0.007942870599136441,True,10,2,15,fb_orig,1
cont_ins,0.9085117869353967,0.007443279049265561,True,10,1,15,fb_orig,1
swap,0.8800431887709197,0.004903320532818013,True,20,2,15,fb_orig,1
cont_ins,0.9193449703077199,0.008107805903423996,True,20,1,15,fb_orig,1
swap,0.9287025373402914,0.0030947767250970857,True,30,2,10,fb_orig,1
cont_ins,0.9385459780457082,0.0013710734316213925,True,30,1,10,fb_orig,1
swap,0.9308259852438366,0.0017264257628521178,True,40,2,15,fb_orig,1
cont_ins,0.9393197768580169,0.0013340833538132044,True,40,1,15,fb_orig,1
swap,0.938204066942595,0.002721044905011438,True,50,2,10,fb_orig,1
cont_ins,0.9417851358646752,0.0019961832736116575,True,50,1,5,fb_orig,1
